期間平均室外溫度(°),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²)
28.3,0.0,4.6,4.989
28.7,0.0,2.6,3.717
28.8,0.0,8.0,6.1
29.0,7.5,4.5,4.461
28.6,7.0,0.3,2.256
28.4,29.5,0.1,1.708
27.4,37.0,0.0,1.028
29.6,T,5.6,5.378
29.9,0.0,7.1,5.606
29.6,0.0,1.2,3.656
28.7,32.0,1.9,3.061
29.2,T,6.7,5.567
29.1,1.0,7.3,6.181
30.1,T,6.3,5.1
29.5,T,4.6,4.656
26.8,39.5,0.8,1.997
28.6,1.5,6.0,5.083
27.6,20.5,0.2,1.7
28.5,6.5,5.0,4.708
25.8,61.0,3.2,3.972
27.5,0.5,2.1,3.961
28.7,0.0,6.8,6.167
29.5,0.0,9.9,6.592
29.4,0.0,9.6,6.594
29.5,0.0,8.9,6.569
29.0,3.0,6.6,4.706
28.8,42.5,4.6,4.769
27.6,14.5,6.2,5.283
27.8,T,7.4,5.564
29.0,T,6.5,4.878
29.8,T,9.2,6.233
30.8,0.0,7.3,5.522
28.9,4.0,0.5,2.311
27.7,8.0,4.0,3.672
29.0,0.0,2.9,3.319
27.6,5.5,0.0,0.644
26.8,7.5,0.1,2.003
27.2,91.5,2.8,3.275
26.6,37.0,4.2,4.231
27.4,0.5,1.7,nan
26.8,49.0,1.2,nan
26.1,49.5,3.4,0.858
27.2,T,3.2,4.308
27.6,1.0,6.2,5.008
27.5,0.0,7.2,5.294
27.9,0.0,7.7,5.361
27.8,0.0,7.3,4.431
28.4,0.0,7.4,5.275
28.4,0.0,7.0,5.414
28.8,0.0,4.8,4.294
28.4,0.0,7.0,4.517
28.8,0.0,10.4,6.322
29.3,0.0,7.6,5.503
28.3,11.5,2.6,2.678
29.1,0.0,6.5,4.772
29.4,0.0,7.0,4.517
29.4,0.0,4.3,4.325
29.3,0.0,6.1,3.803
29.0,0.0,3.8,2.864
29.1,T,1.6,2.928
29.0,0.0,3.8,3.569
30.0,0.0,6.1,4.361
29.4,0.0,5.1,4.003
29.6,0.0,7.6,5.064
28.6,T,10.3,5.978
27.8,0.0,7.9,5.456
27.5,T,0.5,2.544
28.2,0.0,6.8,4.553
26.7,48.0,1.5,2.358
25.9,12.0,0.6,2.542
27.0,T,8.7,5.906
27.2,0.0,4.9,4.072
26.9,0.0,6.1,4.644
26.4,0.0,8.8,5.644
26.4,0.0,10.3,5.753
26.4,0.0,7.4,4.761
26.4,0.0,8.4,5.325
26.0,0.0,3.7,4.364
25.3,0.0,0.0,2.664
25.6,0.0,0.0,2.472
26.3,0.0,3.0,3.272
26.5,0.0,2.9,3.458
26.3,0.0,7.4,5.044
24.5,T,1.2,2.969
25.9,0.0,4.0,3.997
26.6,0.0,10.0,5.267
26.7,0.0,7.4,4.381
26.8,0.0,9.4,5.131
25.8,0.0,7.1,4.414
25.8,0.0,0.6,1.708
25.1,T,1.5,2.567
24.8,0.0,2.9,2.981
24.9,0.0,7.6,4.494
25.5,0.0,10.0,5.258
26.1,0.0,9.4,5.106
25.3,0.0,8.7,4.778
25.1,0.0,9.9,5.311
25.4,0.0,9.9,5.186
25.8,0.0,9.9,5.208
26.8,0.0,7.1,4.45
25.1,0.0,7.2,4.606
25.7,0.0,8.8,4.347
25.8,0.0,7.2,4.092
26.6,0.0,9.4,4.694
25.3,0.0,9.9,4.983
23.6,0.0,8.5,4.872
21.3,0.0,5.3,4.189
21.4,T,0.2,1.961
23.7,T,8.9,4.503
22.7,T,1.6,2.394
18.7,0.0,8.4,4.681
18.0,0.0,9.8,5.006
18.8,0.0,9.6,4.592
20.8,0.0,5.7,4.017
21.1,0.0,9.6,4.708
21.2,0.0,9.5,4.653
21.6,0.0,9.5,4.622
21.1,0.0,9.2,4.333
21.2,0.0,8.9,4.325
21.5,0.0,8.8,4.45
22.2,0.0,9.0,4.431
23.1,0.0,9.1,4.492
24.2,1.5,2.3,2.65
23.2,T,1.6,2.444
19.9,T,0.5,2.014
20.0,T,5.0,3.683
20.6,T,0.2,1.881
20.6,2.5,0.0,1.222
21.4,0.0,7.4,4.136
20.1,0.5,0.0,0.875
20.7,0.0,9.3,4.369
21.2,0.0,9.3,4.244
22.4,0.0,9.5,4.3
24.9,0.0,9.3,4.369
25.2,0.0,1.3,2.122
24.2,0.0,8.9,4.067
23.3,0.0,9.4,4.242
23.2,0.0,9.3,4.339
24.3,0.0,9.2,4.117
19.6,0.0,9.3,4.389
16.2,0.0,0.0,1.169
20.2,0.0,7.2,4.072
20.6,T,6.1,3.839
17.5,0.0,0.3,2.186
14.3,T,0.0,1.269
13.0,0.0,4.4,3.414
16.0,T,0.0,1.394
15.8,0.0,9.4,4.469
15.3,0.0,9.4,4.333
17.3,0.0,4.2,3.075
19.5,T,0.3,1.714
19.1,9.5,0.1,1.136
19.5,0.0,9.3,4.394
20.7,0.0,3.1,2.439
21.3,0.0,8.6,4.3
18.5,0.0,8.4,4.181
19.1,0.0,6.8,3.736
17.6,0.0,8.4,4.297
17.0,0.0,5.3,3.511
17.2,0.0,9.1,4.258
18.1,0.0,9.4,4.45
17.9,0.0,7.3,3.992
18.8,T,6.1,3.764
19.8,0.0,8.0,4.194
18.4,0.0,9.5,4.489
15.9,0.0,8.0,4.128
16.8,0.0,9.2,4.244
17.7,0.0,9.4,4.625
18.6,0.0,8.6,4.503
18.3,0.0,9.3,4.661
18.3,0.0,9.5,4.647
19.0,0.0,9.4,4.614
20.7,0.0,9.1,4.631
21.7,0.0,6.5,4.022
21.1,0.0,8.5,4.422
17.7,1.5,6.3,4.036
15.0,T,2.0,2.397
9.5,7.0,0.0,1.317
11.9,0.0,0.0,1.908
13.3,0.0,0.0,1.228
15.1,0.0,9.0,4.644
15.2,T,1.9,2.644
15.3,T,0.1,2.442
17.5,T,5.6,4.031
20.0,0.0,6.0,4.061
21.8,0.0,9.8,5.031
22.3,0.0,9.7,4.894
21.3,0.0,9.3,4.872
21.8,0.0,5.6,4.281
20.6,0.0,0.3,2.389
20.6,T,0.8,2.503
19.1,0.0,4.4,3.914
16.5,T,0.6,1.547
15.0,10.0,0.8,2.425
13.3,10.0,2.5,3.428
14.6,0.0,0.1,1.492
16.2,0.0,10.0,5.917
15.9,0.0,10.1,5.697
17.1,0.0,10.1,5.656
19.1,0.0,10.1,5.525
21.4,0.0,9.6,5.336
18.7,0.0,9.4,5.281
19.6,0.0,9.9,5.533
21.7,0.0,9.9,5.508
24.2,0.0,5.8,4.283
25.0,0.0,7.1,4.981
24.7,0.0,9.1,5.636
23.0,0.0,8.1,4.792
19.6,0.0,10.2,5.775
19.6,0.0,7.1,5.083
18.1,0.0,7.2,5.269
16.1,0.0,0.6,3.217
15.9,T,1.1,2.272
18.9,0.0,9.8,5.003
20.6,0.0,5.4,4.486
15.1,T,0.8,2.583
13.2,1.0,0.0,0.792
16.8,0.0,7.9,5.425
20.1,0.0,9.2,5.269
25.6,T,6.5,4.264
23.3,0.0,3.7,3.731
16.8,T,1.0,2.272
17.6,0.0,9.2,5.731
15.1,T,0.1,1.025
17.1,T,0.8,2.897
16.9,10.5,0.0,0.881
19.8,T,11.0,6.9
19.9,0.0,8.4,5.758
19.6,0.0,3.2,2.819
19.8,0.0,1.6,3.625
22.1,0.0,4.9,4.136
23.4,0.0,10.1,5.844
21.1,0.0,6.2,4.619
18.0,T,4.9,3.486
19.2,0.0,3.7,3.667
20.5,0.0,7.6,5.514
22.0,0.0,7.0,5.047
25.6,0.0,8.9,5.631
27.2,0.0,11.0,6.603
27.0,0.0,6.7,5.661
25.5,0.0,10.4,6.067
22.5,0.0,2.9,4.533
25.5,0.0,4.7,4.303
26.2,0.0,6.3,4.606
25.7,4.0,2.9,3.881
25.4,8.0,0.7,2.136
25.0,3.0,1.8,3.283
27.0,0.0,7.5,6.156
28.2,0.0,8.0,5.964
27.2,0.0,10.1,6.492
24.7,0.0,4.0,4.272
24.8,T,4.8,3.8
24.1,2.5,2.1,2.039
24.8,2.0,0.9,2.597
21.8,T,0.5,3.147
23.7,0.0,0.0,2.525
25.0,0.0,3.6,3.958
26.7,0.0,3.5,4.464
27.0,0.0,10.1,6.022
27.2,0.0,7.2,5.403
28.0,0.0,8.7,5.508
26.9,0.0,3.3,4.358
27.5,0.0,9.2,6.258
28.1,T,8.6,6.142
26.8,T,4.8,4.481
28.1,0.0,9.4,6.231
28.5,0.0,8.6,6.744
28.0,T,1.3,2.906
26.1,1.5,0.1,1.603
23.3,91.0,0.0,0.708
23.8,24.0,0.4,2.286
24.0,6.0,0.0,1.092
26.4,T,4.6,4.519
24.8,24.5,1.4,2.231
28.0,0.0,7.9,6.158
26.5,17.5,6.8,5.194
