"觀測時間(day)","測站氣壓(hPa)","重力位高度(gpm)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"10","894.8","1457.3","896.5","2023/06/10 00:01:00","893.1","2023/06/10 15:38:00","22.2","27.6","2023/06/10 13:52:00","20.0","2023/06/10 16:35:00","21.1","94","71","2023/06/10 14:01:00","0.8","290","7.1","240","2023/06/10 16:00:00","61.5","4.7","10.0","2023/06/10 16:03:00","49.5","2023/06/10 15:52:00","1.7","12.5","15.22","20.0","-1.5","12","2023/06/10 13:00:00","9.0","24.3","23.4","23.6","23.5","23.9","24.4","23.8"
"11","894.4","1452.8","895.3","2023/06/11 20:52:00","893.3","2023/06/11 03:31:00","21.6","23.7","2023/06/11 10:46:00","20.5","2023/06/11 01:15:00","21.2","97","87","2023/06/11 21:13:00","0.7","200","4.6","190","2023/06/11 01:23:00","16.5","5.5","7.0","2023/06/11 13:15:00","11.0","2023/06/11 12:53:00","0.3","2.2","6.95","23.0","-1.3","3","2023/06/11 10:00:00","9.6","22.6","22.6","22.8","23.0","23.3","24.3","23.9"
"12","894.5","1453.3","895.7","2023/06/12 09:10:00","892.9","2023/06/12 15:35:00","21.9","27.3","2023/06/12 13:20:00","20.0","2023/06/12 04:49:00","21.6","99","82","2023/06/12 13:32:00","1.0","320","4.5","340","2023/06/12 18:53:00","36.5","6.1","11.0","2023/06/12 18:18:00","23.5","2023/06/12 17:36:00","0.5","3.7","10.81","21.0","-1.2","8","2023/06/12 14:00:00","10.0","23.4","22.7","22.9","22.9","23.4","24.0","23.8"
"13","894.2","1450.8","895.9","2023/06/13 21:48:00","893.0","2023/06/13 03:45:00","21.7","26.4","2023/06/13 12:50:00","20.2","2023/06/13 15:47:00","21.5","99","84","2023/06/13 12:51:00","1.0","320","8.0","200","2023/06/13 15:44:00","42.0","3.0","15.5","2023/06/13 15:39:00","31.5","2023/06/13 15:11:00","0.9","6.6","10.22","30.0","-1.9","9","2023/06/13 13:00:00","9.8","23.4","22.7","22.9","22.9","23.3","24.0","23.8"
"14","896.6","1473.7","899.1","2023/06/14 22:01:00","894.0","2023/06/14 03:36:00","21.1","23.6","2023/06/14 12:05:00","19.0","2023/06/14 17:17:00","20.8","98","84","2023/06/14 18:06:00","1.1","180","7.9","190","2023/06/14 16:54:00","44.0","5.0","8.5","2023/06/14 17:02:00","22.0","2023/06/14 16:54:00","0.0","0.0","7.99","14.0","-1.1","5","2023/06/14 11:00:00","10.0","22.2","22.2","22.4","22.5","23.0","23.9","23.7"
"15","898.9","1495.7","900.7","2023/06/15 23:13:00","897.3","2023/06/15 02:12:00","21.3","24.7","2023/06/15 10:45:00","19.7","2023/06/15 02:52:00","21.0","98","85","2023/06/15 13:34:00","0.9","60","5.0","250","2023/06/15 15:33:00","39.5","2.7","13.0","2023/06/15 14:37:00","32.0","2023/06/15 14:30:00","0.4","2.9","8.94","19.0","-1.1","7","2023/06/15 11:00:00","9.0","22.6","22.1","22.2","22.2","22.7","23.7","23.7"
"16","900.7","1513.7","902.7","2023/06/16 22:32:00","898.9","2023/06/16 04:53:00","22.5","26.3","2023/06/16 11:30:00","20.2","2023/06/16 04:23:00","21.8","96","73","2023/06/16 11:33:00","0.9","340","4.4","270","2023/06/16 05:23:00","6.5","1.0","2.0","2023/06/16 01:58:00","4.0","2023/06/16 01:39:00","1.0","7.3","12.31","30.0","-2.2","9","2023/06/16 11:00:00","9.8","23.6","22.8","22.9","22.7","23.1","23.6","23.6"
"17","902.5","1531.1","904.0","2023/06/17 22:10:00","900.7","2023/06/17 02:14:00","22.3","26.7","2023/06/17 13:26:00","20.9","2023/06/17 04:04:00","21.7","97","81","2023/06/17 13:22:00","0.9","350","3.5","200","2023/06/17 04:30:00","2.5","5.5","0.5","2023/06/17 05:58:00","1.5","2023/06/17 05:58:00","0.3","2.2","8.95","26.0","-1.8","7","2023/06/17 11:00:00","10.0","23.3","23.1","23.2","23.1","23.5","23.7","23.5"
"18","901.7","1525.5","903.2","2023/06/18 09:09:00","900.1","2023/06/18 15:30:00","23.1","27.7","2023/06/18 12:45:00","20.1","2023/06/18 16:07:00","21.2","90","72","2023/06/18 13:44:00","1.2","320","5.2","210","2023/06/18 16:41:00","4.0","3.2","1.0","2023/06/18 15:26:00","3.5","2023/06/18 15:26:00","2.4","17.6","13.53","28.0","-2.1","8","2023/06/18 13:00:00","9.2","23.9","23.4","23.5","23.3","23.7","23.8","23.5"
"19","900.1","1510.3","902.0","2023/06/19 08:31:00","898.4","2023/06/19 16:15:00","23.9","28.9","2023/06/19 13:00:00","20.1","2023/06/19 03:24:00","20.6","82","61","2023/06/19 11:11:00","1.2","220","4.6","180","2023/06/19 03:11:00","0.0","0.0","0.0","--","0.0","--","9.9","73.0","27.21","30.0","5.0","13","2023/06/19 12:00:00","5.8","25.0","23.9","24.0","23.6","23.9","23.9","23.5"
"20","899.4","1504.3","900.3","2023/06/20 22:14:00","898.4","2023/06/20 15:57:00","23.3","28.8","2023/06/20 13:48:00","19.7","2023/06/20 05:40:00","21.9","92","67","2023/06/20 11:26:00","1.1","300","5.3","210","2023/06/20 17:06:00","3.0","0.5","1.5","2023/06/20 16:56:00","2.5","2023/06/20 16:56:00","4.7","34.5","18.48","28.0","-3.2","12","2023/06/20 12:00:00","5.0","25.4","24.6","24.7","24.3","24.6","24.3","23.6"
"21","899.7","1506.2","900.6","2023/06/21 21:11:00","898.3","2023/06/21 16:13:00","23.2","27.5","2023/06/21 13:53:00","20.1","2023/06/21 05:34:00","22.0","94","76","2023/06/21 11:00:00","0.8","290","4.8","260","2023/06/21 13:57:00","0.0","0.0","0.0","--","0.0","--","5.4","39.8","18.65","30.0","3.3","11","2023/06/21 11:00:00","4.4","25.1","24.5","24.7","24.5","24.8","24.6","23.7"
"22","899.8","1507.8","900.9","2023/06/22 22:28:00","898.8","2023/06/22 15:53:00","23.6","28.7","2023/06/22 13:13:00","20.3","2023/06/22 04:48:00","21.8","91","69","2023/06/22 11:53:00","1.1","280","5.7","250","2023/06/22 13:33:00","0.0","0.0","0.0","--","0.0","--","6.8","49.9","21.53","30.0","3.1","11","2023/06/22 14:00:00","5.2","25.4","24.6","24.8","24.5","24.9","24.7","23.9"
"23","900.2","1511.7","901.6","2023/06/23 22:01:00","899.2","2023/06/23 15:16:00","23.0","28.8","2023/06/23 13:09:00","20.1","2023/06/23 03:52:00","21.3","91","64","2023/06/23 12:22:00","0.9","300","4.7","250","2023/06/23 12:43:00","1.0","0.2","1.0","2023/06/23 21:54:00","1.0","2023/06/23 21:54:00","4.9","36.1","17.93","30.0","-3.1","11","2023/06/23 13:00:00","9.2","25.4","24.8","25.0","24.7","25.1","24.9","24.0"
"24","900.8","1515.9","902.6","2023/06/24 20:00:00","899.3","2023/06/24 15:39:00","22.6","29.1","2023/06/24 13:03:00","19.1","2023/06/24 20:25:00","21.2","92","64","2023/06/24 13:05:00","0.9","300","7.7","250","2023/06/24 16:28:00","10.0","1.2","5.0","2023/06/24 19:55:00","9.5","2023/06/24 19:20:00","3.1","22.9","16.07","28.0","-2.5","12","2023/06/24 13:00:00","7.6","24.6","24.5","24.6","24.6","25.0","25.0","24.1"
"25","901.2","1520.5","902.7","2023/06/25 21:40:00","900.0","2023/06/25 16:42:00","23.4","28.9","2023/06/25 13:00:00","19.8","2023/06/25 02:56:00","20.7","85","65","2023/06/25 13:27:00","0.9","320","3.9","180","2023/06/25 20:13:00","0.0","0.0","0.0","--","0.0","--","6.6","48.7","22.97","30.0","4.3","12","2023/06/25 11:00:00","8.2","24.8","24.4","24.5","24.4","24.8","24.9","24.2"
"26","901.3","1522.2","902.9","2023/06/26 21:51:00","899.9","2023/06/26 14:58:00","23.0","30.0","2023/06/26 13:41:00","19.6","2023/06/26 19:37:00","20.8","89","58","2023/06/26 11:07:00","1.1","320","5.6","190","2023/06/26 15:00:00","39.5","3.0","5.5","2023/06/26 17:55:00","23.0","2023/06/26 17:53:00","5.5","40.3","20.21","26.0","-4.1","11","2023/06/26 13:00:00","4.2","25.2","24.4","24.6","24.6","25.1","25.0","24.3"
"27","902.2","1529.3","903.8","2023/06/27 21:40:00","900.8","2023/06/27 04:05:00","23.2","29.1","2023/06/27 13:33:00","20.0","2023/06/27 03:49:00","21.3","89","66","2023/06/27 13:34:00","0.9","330","6.1","180","2023/06/27 19:21:00","T","1.0","T","2023/06/27 18:39:00","T","2023/06/27 18:30:00","5.3","38.9","19.16","30.0","-4.0","11","2023/06/27 14:00:00","5.8","24.6","24.0","24.2","24.2","24.7","25.1","24.4"
"28","902.1","1529.2","903.4","2023/06/28 10:15:00","900.7","2023/06/28 17:59:00","23.2","25.9","2023/06/28 13:13:00","20.9","2023/06/28 04:42:00","22.0","93","81","2023/06/28 12:35:00","1.0","340","4.2","220","2023/06/28 22:02:00","T","0.5","T","2023/06/28 14:13:00","T","2023/06/28 14:12:00","0.0","0.0","9.80","30.0","-1.6","8","2023/06/28 11:00:00","10.0","24.3","24.2","24.3","24.4","24.8","25.0","24.4"
"29","900.0","1509.1","901.5","2023/06/29 00:01:00","898.6","2023/06/29 14:15:00","22.4","30.1","2023/06/29 13:47:00","18.8","2023/06/29 18:31:00","20.6","90","64","2023/06/29 13:48:00","1.2","360","11.3","210","2023/06/29 14:47:00","35.5","5.7","9.5","2023/06/29 14:48:00","22.5","2023/06/29 14:48:00","4.2","30.8","16.60","30.0","-4.2","11","2023/06/29 14:00:00","7.0","24.9","23.9","24.1","24.3","24.6","24.9","24.4"
"30","899.1","1499.4","900.0","2023/06/30 19:54:00","898.0","2023/06/30 02:50:00","22.9","27.5","2023/06/30 11:47:00","19.8","2023/06/30 01:26:00","21.3","91","72","2023/06/30 11:50:00","0.9","20","4.2","270","2023/06/30 16:33:00","T","0.8","T","2023/06/30 16:28:00","T","2023/06/30 16:28:00","2.2","16.2","15.65","27.0","-1.9","11","2023/06/30 12:00:00","8.6","24.2","23.7","23.9","23.9","24.3","24.8","24.4"
