"觀測時間(day)","測站氣壓(hPa)","重力位高度(gpm)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm"
"17","766.5","3173.2","767.7","2023/09/17 10:01:00","765.5","2023/09/17 02:58:00","13.9","16.4","2023/09/17 12:17:00","12.2","2023/09/17 23:34:00","13.7","99","87","2023/09/17 09:17:00","0.8","160","3.0","340","2023/09/17 14:09:00","0.5","2.4","0.5","2023/09/17 13:45:00","0.5","2023/09/17 12:59:00","0.4","3.3","7.94","15.3","-0.7","9.0","17.0","15.9","16.2","16.2","16.5"
"18","766.9","3176.4","768.0","2023/09/18 20:43:00","765.6","2023/09/18 03:42:00","13.6","17.9","2023/09/18 09:04:00","10.9","2023/09/18 21:27:00","13.2","97","82","2023/09/18 09:34:00","0.9","140","6.4","200","2023/09/18 16:43:00","23.5","5.9","7.5","2023/09/18 16:18:00","14.5","2023/09/18 16:02:00","4.2","34.7","11.20","13.5","-1.0","6.0","16.6","15.5","15.9","16.0","16.4"
"19","766.8","3175.2","767.6","2023/09/19 08:49:00","765.9","2023/09/19 03:36:00","13.6","18.3","2023/09/19 09:46:00","10.2","2023/09/19 05:34:00","12.7","94","68","2023/09/19 09:02:00","0.9","80","4.3","90","2023/09/19 19:04:00","7.5","2.5","3.0","2023/09/19 14:43:00","6.0","2023/09/19 14:38:00","4.6","38.0","11.69","24.0","-1.1","5.0","16.3","15.2","15.6","15.8","16.2"
"20","766.1","3167.3","767.1","2023/09/20 09:40:00","765.0","2023/09/20 16:40:00","13.7","18.5","2023/09/20 10:01:00","9.7","2023/09/20 03:00:00","12.9","95","67","2023/09/20 08:39:00","0.9","250","3.5","80","2023/09/20 21:59:00","11.5","2.9","5.0","2023/09/20 18:33:00","9.0","2023/09/20 18:20:00","4.3","35.3","12.97","23.0","-1.8","5.4","16.2","15.1","15.5","15.6","16.1"
"21","766.1","3169.3","767.1","2023/09/21 09:57:00","765.2","2023/09/21 02:48:00","14.1","17.9","2023/09/21 09:20:00","11.1","2023/09/21 23:44:00","13.9","99","88","2023/09/21 08:27:00","0.9","300","4.2","90","2023/09/21 17:57:00","3.0","2.7","1.0","2023/09/21 15:26:00","2.0","2023/09/21 13:35:00","3.7","30.5","11.21","22.0","-0.5","6.6","16.5","15.4","15.7","15.8","16.1"
"22","765.8","3165.7","767.0","2023/09/22 21:36:00","764.7","2023/09/22 14:58:00","14.4","18.7","2023/09/22 09:40:00","11.0","2023/09/22 00:07:00","14.2","99","82","2023/09/22 08:43:00","0.6","10","3.3","20","2023/09/22 09:41:00","14.5","1.7","5.5","2023/09/22 15:51:00","14.0","2023/09/22 15:14:00","3.9","32.2","10.82","21.4","-1.9","6.6","16.6","15.5","15.8","15.8","16.1"
"23","765.8","3166.5","766.6","2023/09/23 21:12:00","764.9","2023/09/23 15:45:00","14.4","19.4","2023/09/23 09:11:00","10.4","2023/09/23 06:12:00","13.4","95","53","2023/09/23 09:13:00","0.8","360","5.0","190","2023/09/23 15:31:00","15.0","3.6","6.0","2023/09/23 15:26:00","9.0","2023/09/23 15:26:00","4.8","40.0","12.79","18.7","-1.8","3.8","16.7","15.6","15.9","15.9","16.2"
"24","765.8","3166.1","766.8","2023/09/24 09:52:00","764.8","2023/09/24 16:58:00","14.5","17.6","2023/09/24 08:54:00","12.3","2023/09/24 05:28:00","14.2","98","85","2023/09/24 08:21:00","0.8","180","6.2","70","2023/09/24 19:15:00","0.0","0.0","0.0","--","0.0","--","3.4","28.4","10.24","8.3","1.2","4.3","16.6","15.5","15.8","15.8","16.1"
"25","765.8","3166.8","766.8","2023/09/25 21:39:00","764.8","2023/09/25 03:13:00","14.5","18.8","2023/09/25 09:59:00","11.5","2023/09/25 06:45:00","14.2","98","85","2023/09/25 08:47:00","0.6","300","3.0","310","2023/09/25 14:45:00","0.5","0.4","0.5","2023/09/25 15:21:00","0.5","2023/09/25 15:20:00","4.1","34.3","11.95","10.5","-1.4","1.5","16.6","15.5","15.8","15.8","16.1"
"26","765.6","3164.9","766.7","2023/09/26 09:43:00","764.9","2023/09/26 02:49:00","14.4","19.1","2023/09/26 10:22:00","11.5","2023/09/26 06:22:00","13.8","97","70","2023/09/26 08:12:00","0.9","90","6.0","120","2023/09/26 01:43:00","0.5","1.8","0.5","2023/09/26 13:44:00","0.5","2023/09/26 13:44:00","4.5","37.7","12.82","4.7","-2.4","5.0","17.1","15.9","16.2","16.0","16.3"
"27","765.1","3158.8","766.4","2023/09/27 23:07:00","764.1","2023/09/27 15:16:00","14.5","18.5","2023/09/27 13:25:00","11.8","2023/09/27 00:21:00","14.2","98","84","2023/09/27 11:37:00","0.8","340","6.1","90","2023/09/27 19:29:00","0.0","0.0","0.0","--","0.0","--","2.7","22.7","12.31","5.3","1.4","7.3","17.2","16.0","16.2","16.1","16.3"
"28","766.0","3166.5","767.2","2023/09/28 22:15:00","764.8","2023/09/28 03:37:00","13.7","18.9","2023/09/28 09:56:00","11.0","2023/09/28 04:04:00","13.0","96","71","2023/09/28 08:27:00","0.6","320","5.9","280","2023/09/28 16:12:00","65.5","2.4","22.0","2023/09/28 16:20:00","62.5","2023/09/28 15:53:00","3.8","31.7","11.85","9.3","-1.7","4.0","16.5","15.4","15.8","16.0","16.3"
"29","766.4","3172.3","767.3","2023/09/29 08:53:00","765.5","2023/09/29 16:15:00","14.5","18.8","2023/09/29 10:05:00","10.8","2023/09/29 05:55:00","13.6","95","54","2023/09/29 09:17:00","0.6","130","3.2","90","2023/09/29 18:29:00","0.0","0.0","0.0","--","0.0","--","4.8","40.1","13.42","18.6","2.1","4.2","16.2","15.0","15.3","15.5","16.0"
"30","765.1","3159.9","766.2","2023/09/30 08:50:00","764.1","2023/09/30 15:49:00","14.8","18.8","2023/09/30 10:02:00","11.4","2023/09/30 05:35:00","13.9","95","73","2023/09/30 09:05:00","0.7","200","4.7","110","2023/09/30 18:09:00","0.0","0.0","0.0","--","0.0","--","5.0","41.9","13.87","15.6","1.8","5.4","16.7","15.6","15.9","15.6","16.1"
