"觀測時間(day)","測站氣壓(hPa)","重力位高度(gpm)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm"
"13","759.7","3099.6","761.2","2023/06/13 21:46:00","758.2","2023/06/13 04:17:00","14.8","17.4","2023/06/13 12:51:00","12.8","2023/06/13 04:45:00","14.6","98","84","2023/06/13 10:17:00","0.7","290","5.6","270","2023/06/13 12:43:00","20.0","7.6","4.0","2023/06/13 15:21:00","11.5","2023/06/13 15:14:00","1.4","10.3","10.94","4.2","-0.6","9.0","17.5","16.2","16.5","16.3","16.5"
"14","761.7","3120.9","763.7","2023/06/14 22:03:00","759.5","2023/06/14 02:23:00","14.3","16.3","2023/06/14 08:55:00","13.2","2023/06/14 12:27:00","14.1","99","87","2023/06/14 14:59:00","1.0","300","5.3","260","2023/06/14 11:08:00","28.5","6.8","4.5","2023/06/14 17:11:00","12.5","2023/06/14 16:22:00","0.2","1.5","8.71","0.6","-1.0","/","17.4","16.2","16.4","16.3","16.5"
"15","763.5","3139.3","765.1","2023/06/15 22:08:00","762.1","2023/06/15 03:00:00","13.9","15.8","2023/06/15 12:21:00","12.6","2023/06/15 04:05:00","13.5","98","89","2023/06/15 08:25:00","1.2","160","6.1","160","2023/06/15 21:07:00","10.5","1.9","5.0","2023/06/15 15:49:00","9.5","2023/06/15 15:22:00","0.1","0.7","7.19","2.8","-0.8","9.0","17.0","15.8","16.1","16.1","16.4"
"16","765.2","3158.6","767.0","2023/06/16 22:23:00","763.9","2023/06/16 03:35:00","13.9","16.8","2023/06/16 14:43:00","11.9","2023/06/16 04:14:00","13.3","97","86","2023/06/16 07:26:00","1.0","40","6.9","180","2023/06/16 03:29:00","11.5","2.6","5.0","2023/06/16 16:55:00","6.0","2023/06/16 16:47:00","0.0","0.0","9.08","13.0","-0.5","9.0","16.9","15.7","15.9","15.9","16.3"
"17","766.9","3177.5","768.1","2023/06/17 21:34:00","765.4","2023/06/17 02:34:00","14.2","17.7","2023/06/17 11:46:00","12.8","2023/06/17 00:26:00","13.8","97","87","2023/06/17 11:28:00","1.1","140","6.1","160","2023/06/17 03:50:00","2.5","6.3","0.5","2023/06/17 13:01:00","0.5","2023/06/17 12:28:00","0.1","0.7","7.41","7.9","-1.4","10.0","16.9","15.7","15.9","15.9","16.2"
"18","766.3","3171.8","767.4","2023/06/18 09:56:00","764.6","2023/06/18 15:54:00","14.0","17.4","2023/06/18 11:02:00","9.9","2023/06/18 21:34:00","12.9","93","81","2023/06/18 03:29:00","1.1","290","5.8","180","2023/06/18 01:08:00","1.0","2.7","0.5","2023/06/18 16:35:00","1.0","2023/06/18 16:35:00","1.1","8.1","12.20","12.6","-0.9","9.0","17.0","15.8","16.0","15.9","16.2"
"19","764.9","3153.1","766.0","2023/06/19 09:15:00","763.9","2023/06/19 16:03:00","13.5","18.4","2023/06/19 12:16:00","10.2","2023/06/19 02:52:00","12.3","92","73","2023/06/19 07:26:00","1.0","300","5.6","260","2023/06/19 12:09:00","0.0","0.0","0.0","--","0.0","--","3.7","27.3","14.52","15.6","1.7","6.2","16.2","15.3","15.5","15.7","16.1"
"20","764.4","3150.0","765.6","2023/06/20 22:05:00","763.5","2023/06/20 03:07:00","14.2","18.9","2023/06/20 09:24:00","10.8","2023/06/20 05:11:00","12.9","92","69","2023/06/20 09:03:00","0.8","270","4.0","270","2023/06/20 14:14:00","0.5","1.0","0.5","2023/06/20 13:39:00","0.5","2023/06/20 13:07:00","4.7","34.5","16.19","18.4","-1.9","5.4","16.3","15.3","15.5","15.6","16.0"
"21","764.8","3154.7","765.7","2023/06/21 22:13:00","763.8","2023/06/21 16:01:00","14.4","19.7","2023/06/21 10:09:00","10.8","2023/06/21 03:38:00","11.9","86","53","2023/06/21 09:12:00","0.8","210","5.0","240","2023/06/21 11:51:00","0.0","0.0","0.0","--","0.0","--","5.8","42.8","20.60","22.8","2.0","6.0","16.6","15.5","15.8","15.8","16.1"
"22","764.7","3153.8","765.6","2023/06/22 22:13:00","763.9","2023/06/22 03:14:00","14.2","18.8","2023/06/22 12:48:00","10.5","2023/06/22 02:26:00","9.6","75","48","2023/06/22 08:27:00","1.1","240","5.1","230","2023/06/22 12:54:00","0.0","0.0","0.0","--","0.0","--","5.8","42.8","19.82","22.0","2.9","6.8","16.3","15.3","15.6","15.8","16.1"
"23","764.8","3155.6","765.9","2023/06/23 22:00:00","764.1","2023/06/23 02:23:00","14.6","18.5","2023/06/23 09:08:00","10.2","2023/06/23 05:30:00","11.0","81","43","2023/06/23 08:41:00","1.1","180","5.3","280","2023/06/23 12:55:00","0.0","0.0","0.0","--","0.0","--","5.2","38.1","19.20","22.0","1.7","7.0","16.4","15.2","15.5","15.7","16.0"
"24","765.3","3161.8","766.4","2023/06/24 20:25:00","764.4","2023/06/24 03:14:00","14.9","19.4","2023/06/24 13:26:00","11.2","2023/06/24 05:19:00","12.3","85","51","2023/06/24 05:31:00","1.1","180","6.3","180","2023/06/24 01:24:00","3.5","1.8","2.5","2023/06/24 19:12:00","3.5","2023/06/24 19:12:00","6.0","44.0","21.91","24.0","-1.9","6.2","17.2","15.9","16.1","16.0","16.3"
"25","765.6","3163.3","766.7","2023/06/25 21:33:00","764.8","2023/06/25 16:29:00","13.9","18.9","2023/06/25 10:50:00","9.9","2023/06/25 04:26:00","13.1","95","72","2023/06/25 08:18:00","0.7","360","3.8","90","2023/06/25 22:13:00","1.5","3.8","0.5","2023/06/25 13:50:00","1.5","2023/06/25 13:49:00","4.7","34.7","16.44","18.3","-1.9","4.0","16.9","15.9","16.2","16.2","16.5"
"26","765.9","3165.1","767.2","2023/06/26 21:43:00","764.6","2023/06/26 15:06:00","13.5","20.6","2023/06/26 10:21:00","9.3","2023/06/26 01:17:00","12.2","92","58","2023/06/26 09:03:00","0.9","310","4.6","20","2023/06/26 10:13:00","9.0","4.3","2.5","2023/06/26 13:50:00","5.0","2023/06/26 13:39:00","4.4","32.5","13.28","13.1","-0.9","4.5","16.4","15.4","15.8","16.0","16.3"
"27","766.8","3176.9","768.2","2023/06/27 21:51:00","765.4","2023/06/27 03:20:00","14.6","18.7","2023/06/27 10:48:00","11.6","2023/06/27 03:06:00","13.9","96","76","2023/06/27 08:28:00","0.9","320","4.9","80","2023/06/27 19:52:00","3.0","3.2","2.0","2023/06/27 17:12:00","2.5","2023/06/27 16:26:00","4.2","31.0","14.58","14.1","-1.2","6.7","16.5","15.4","15.6","15.8","16.2"
"28","766.7","3176.8","767.9","2023/06/28 00:01:00","765.7","2023/06/28 16:19:00","14.4","17.2","2023/06/28 13:14:00","12.3","2023/06/28 04:18:00","13.2","93","70","2023/06/28 08:23:00","0.7","200","5.7","190","2023/06/28 06:05:00","1.0","6.3","0.5","2023/06/28 14:56:00","0.5","2023/06/28 14:56:00","0.0","0.0","10.26","9.3","-0.8","10.0","17.0","15.8","16.0","16.0","16.3"
"29","764.9","3157.4","766.1","2023/06/29 00:01:00","763.3","2023/06/29 16:06:00","14.8","20.4","2023/06/29 10:49:00","11.8","2023/06/29 00:59:00","13.5","93","68","2023/06/29 08:23:00","1.3","150","7.2","160","2023/06/29 13:29:00","12.5","7.7","8.0","2023/06/29 17:12:00","8.5","2023/06/29 17:12:00","4.6","33.8","13.35","15.7","-2.1","6.8","16.9","15.7","16.0","16.0","16.3"
"30","764.2","3151.5","765.2","2023/06/30 21:32:00","763.1","2023/06/30 03:34:00","15.5","19.4","2023/06/30 10:54:00","12.5","2023/06/30 03:52:00","13.8","90","72","2023/06/30 02:08:00","1.4","160","6.6","170","2023/06/30 01:04:00","6.0","3.6","2.5","2023/06/30 15:05:00","3.5","2023/06/30 14:58:00","4.3","31.6","17.52","12.3","-1.7","8.8","17.3","16.0","16.2","16.1","16.3"
