期間平均室外溫度(°),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²)
28.6,7.0,5.3,3.958
27.5,45.5,0.4,1.942
28.5,T,4.8,5.183
27.2,21.0,4.0,4.392
28.4,T,4.4,4.658
28.4,28.0,7.4,6.056
29.2,0.0,9.6,6.669
29.9,0.0,11.4,7.131
29.3,T,9.5,6.9
29.0,0.0,6.9,5.381
29.0,0.0,7.3,5.556
28.6,6.5,6.0,5.361
27.7,9.5,7.6,5.636
28.8,0.0,10.1,6.206
29.8,T,10.4,6.569
30.3,0.0,4.8,4.331
28.9,T,0.8,2.894
28.5,T,3.8,3.703
29.1,T,3.8,4.119
27.9,8.0,0.0,1.028
26.7,13.0,0.5,2.017
27.1,172.0,4.1,3.936
26.9,39.0,4.9,3.992
27.2,7.5,4.0,4.669
26.6,21.5,2.9,3.564
26.8,12.5,4.6,4.797
26.6,6.0,2.7,3.933
27.4,T,7.0,5.472
27.6,0.0,8.4,6.042
27.9,0.0,8.6,5.447
27.9,0.0,9.1,5.978
28.1,0.0,8.2,6.0
28.4,0.0,8.2,5.664
28.6,0.0,5.4,4.806
28.3,0.0,8.1,5.553
28.6,0.0,9.2,5.772
29.0,0.0,9.1,5.781
28.5,T,2.4,3.253
29.1,0.0,9.2,5.783
29.3,0.0,8.7,5.425
29.5,T,7.9,5.608
29.5,0.0,6.1,4.933
29.1,0.0,4.8,3.569
29.1,0.0,4.9,3.997
28.9,0.0,6.4,4.361
29.4,0.0,8.7,5.394
29.2,0.0,6.2,4.656
29.2,0.0,7.3,5.056
28.3,0.0,9.7,5.775
27.1,0.0,7.1,4.967
27.5,T,0.0,1.953
28.1,T,2.4,3.553
27.1,29.5,1.5,2.592
26.0,19.5,1.0,3.147
26.7,1.0,6.8,5.25
27.0,0.0,4.4,4.219
26.7,0.0,6.2,4.472
26.4,0.0,8.5,5.347
25.8,0.0,10.1,5.456
26.2,0.0,7.6,4.856
25.8,0.0,6.6,4.325
25.4,T,3.8,3.967
24.6,0.0,0.0,2.344
24.4,T,0.0,1.764
25.9,0.0,2.1,3.403
26.1,0.0,3.9,4.297
26.2,T,7.0,4.533
24.5,T,0.3,2.797
25.6,0.0,5.6,4.158
26.1,0.0,9.5,4.686
26.1,0.0,5.9,4.05
26.1,0.0,9.1,4.525
25.7,0.0,7.4,4.117
25.4,T,1.2,2.494
25.2,0.0,2.9,3.239
24.7,0.0,5.7,3.717
24.7,0.0,7.8,4.586
25.0,0.0,10.1,5.028
25.5,0.0,9.9,4.797
25.0,0.0,9.4,4.642
24.7,0.0,9.8,4.819
25.1,0.0,10.2,5.0
25.6,0.0,10.3,5.003
26.3,0.0,6.3,3.944
24.4,0.0,6.0,3.767
25.0,0.0,8.0,4.181
25.3,0.0,6.3,3.644
26.2,0.0,9.8,4.547
24.8,0.0,9.9,5.067
23.1,0.0,1.0,2.547
21.4,0.0,1.7,3.147
21.0,0.0,1.0,2.325
23.3,0.0,8.1,4.542
23.0,T,2.7,3.028
18.5,0.0,7.7,4.7
17.3,0.0,9.6,5.133
18.4,0.0,9.7,4.803
20.3,0.0,6.4,4.097
20.9,0.0,9.7,4.8
21.1,0.0,9.8,4.639
21.5,0.0,9.8,4.719
20.5,0.0,9.6,4.394
20.6,0.0,9.0,3.989
21.4,0.0,8.9,4.383
21.6,0.0,8.2,4.283
22.5,0.0,9.4,4.208
24.3,T,1.2,2.256
22.8,T,1.3,2.506
20.4,T,2.0,2.475
20.1,0.0,6.6,3.589
20.1,T,0.2,1.969
20.7,1.5,0.0,1.383
21.7,T,7.0,3.756
20.0,T,0.0,1.072
20.0,0.0,8.5,3.658
21.0,0.0,9.3,3.7
22.1,0.0,9.5,3.736
24.5,0.0,9.3,4.0
24.9,0.0,2.1,2.569
24.0,T,8.4,3.508
22.8,0.0,9.2,3.733
22.7,0.0,9.4,3.647
24.3,0.0,8.8,3.556
19.6,0.0,7.6,3.975
16.4,0.0,0.1,1.706
19.9,0.0,6.7,3.433
20.7,T,5.8,3.633
17.7,0.0,0.1,1.975
14.8,T,0.1,1.481
12.8,0.0,0.0,1.631
15.4,T,0.0,1.706
15.6,T,8.9,4.092
14.6,0.0,9.5,4.094
16.8,0.0,3.6,2.594
19.3,T,0.2,1.936
18.8,10.5,0.0,1.044
19.1,0.0,9.5,4.031
19.8,T,3.1,2.453
21.0,T,9.1,4.306
18.2,0.0,6.1,3.45
18.1,0.0,5.6,3.45
17.5,0.0,5.6,3.583
16.4,0.0,5.5,3.219
16.8,0.0,9.3,3.822
17.4,0.0,9.0,3.931
17.2,0.0,5.6,3.742
17.9,0.0,5.1,3.222
19.3,0.0,8.1,4.144
17.4,0.0,9.5,4.4
14.7,0.0,8.5,3.928
16.2,0.0,9.2,4.006
17.4,0.0,9.6,4.392
18.5,0.0,9.3,4.306
17.7,0.0,9.7,4.494
17.2,0.0,9.4,4.461
18.6,0.0,9.5,4.531
20.1,0.0,9.1,4.428
21.1,0.0,6.7,3.925
20.4,0.0,6.8,3.917
18.2,T,6.4,4.258
15.1,T,0.4,1.928
9.7,5.0,0.0,1.461
11.9,0.0,0.0,1.831
13.5,0.0,0.0,1.561
15.0,0.0,9.4,4.669
15.1,0.0,3.5,3.189
15.8,T,3.7,3.944
17.4,0.5,7.0,4.411
19.6,0.0,5.4,3.933
21.6,0.0,9.5,5.131
21.3,0.0,8.1,4.711
21.0,0.0,6.5,4.372
21.0,0.0,4.4,4.011
20.6,0.0,1.2,2.772
20.3,T,0.2,2.267
19.0,0.0,2.8,3.331
16.9,3.5,0.3,1.789
15.0,11.5,0.5,1.969
13.5,8.5,0.4,2.553
14.6,0.0,0.0,1.514
15.1,0.0,10.3,6.033
15.6,0.0,10.3,5.794
17.0,0.0,10.4,5.906
20.2,0.0,10.4,5.764
22.1,0.0,8.3,5.319
18.2,0.0,6.5,4.647
18.9,0.0,9.9,5.608
21.4,0.0,10.5,5.692
24.6,T,6.2,4.244
25.1,0.0,6.6,5.067
24.8,0.0,9.3,5.731
22.8,0.0,7.0,4.806
19.6,0.0,10.5,5.886
19.4,0.0,6.8,4.736
18.1,0.0,7.5,5.253
16.0,0.0,1.0,2.9
16.1,0.0,1.1,2.861
19.1,0.0,8.5,5.122
20.9,0.0,5.0,4.536
15.6,T,0.3,2.589
13.2,0.5,0.0,0.711
16.8,0.0,8.7,5.531
20.0,0.0,8.7,5.325
26.2,0.0,8.4,5.289
23.7,T,4.6,4.256
16.8,3.5,0.4,1.944
17.3,0.0,5.6,4.892
14.8,T,0.1,1.322
16.9,T,0.1,2.492
17.2,7.0,0.0,1.294
19.0,0.5,10.7,7.086
19.6,0.0,9.0,6.044
19.3,0.0,3.1,2.881
20.2,0.0,4.1,5.047
22.1,0.0,6.8,5.214
23.6,0.0,9.8,5.892
21.3,0.0,5.2,4.764
18.3,T,2.9,2.986
19.2,0.0,5.5,5.233
20.1,0.0,6.5,5.314
21.9,0.0,7.1,5.181
26.3,0.0,9.4,6.178
27.4,0.0,11.0,6.594
27.3,0.0,7.2,5.839
25.3,0.0,9.1,5.906
22.6,0.0,2.2,4.508
25.3,0.0,7.2,5.422
25.6,0.0,2.9,4.108
26.2,T,2.5,3.764
26.6,5.0,1.2,2.656
25.3,4.0,2.8,3.889
27.2,0.0,7.5,6.203
28.4,0.0,10.9,6.789
27.3,0.5,11.1,6.931
24.9,0.0,5.8,4.911
24.6,T,3.9,3.686
24.9,3.0,3.0,3.753
25.2,0.5,2.5,3.65
22.3,T,1.0,3.042
23.5,0.0,0.0,2.817
25.0,0.0,4.7,4.633
27.1,0.0,6.1,5.511
26.6,0.0,8.2,5.692
27.4,0.0,3.4,4.475
28.2,0.0,8.6,5.908
26.6,0.0,3.5,4.5
27.7,0.0,8.9,6.497
27.9,1.0,7.1,6.111
26.4,0.0,5.4,4.778
28.4,0.0,10.8,6.422
28.3,0.0,10.1,7.183
28.1,T,1.4,3.706
26.5,8.0,0.0,1.772
24.1,19.5,0.0,0.894
24.0,28.0,0.3,2.194
24.2,12.5,0.3,1.281
26.4,T,4.8,4.383
24.6,13.0,0.8,1.983
27.9,T,9.5,6.444
27.5,1.5,7.2,5.7
