期間平均室外溫度(°),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²)
17.8,0.0,9.2,4.714
19.9,0.0,7.7,4.328
21.1,0.0,8.7,4.497
21.1,0.0,9.2,4.639
21.4,0.0,9.2,4.672
20.7,0.0,8.9,4.311
20.8,0.0,9.1,4.658
20.4,0.0,2.2,2.144
21.5,0.0,6.5,3.678
22.7,0.0,9.1,4.683
23.2,0.0,0.8,1.983
21.0,T,1.4,2.631
17.4,T,0.0,1.578
18.4,T,0.8,2.228
19.6,T,0.3,1.414
19.5,57.5,0.0,0.603
19.2,1.0,0.0,1.033
18.5,2.0,0.0,0.286
19.7,0.0,8.9,4.356
20.0,0.0,9.2,4.117
21.2,0.0,7.6,4.211
23.1,0.0,7.9,4.031
24.6,0.0,3.8,3.2
21.2,0.5,1.3,2.153
21.6,0.0,3.4,3.081
22.3,0.0,9.1,4.242
23.5,0.0,7.3,4.167
16.1,0.0,0.0,0.986
14.2,0.0,0.0,1.161
19.6,0.0,2.9,3.044
17.9,T,0.1,1.131
14.9,T,0.1,1.403
11.9,T,0.2,1.869
11.2,0.0,7.1,3.819
15.4,T,0.1,1.947
13.9,1.0,0.8,1.564
14.2,0.0,9.1,4.317
17.3,0.0,7.5,3.939
18.8,3.5,0.7,1.769
18.7,3.0,0.0,0.778
19.3,0.0,1.3,2.292
19.1,T,2.7,2.694
18.8,0.0,6.7,3.725
17.1,0.0,7.5,4.036
17.5,0.0,8.6,3.947
15.8,T,0.0,0.633
15.8,0.0,1.8,2.664
16.5,0.0,3.7,2.922
17.1,0.0,9.1,4.194
17.3,0.0,8.2,3.947
19.4,T,5.0,3.597
18.5,T,1.3,2.331
16.4,T,1.9,1.806
14.4,0.0,8.9,4.3
15.4,0.0,5.9,3.611
17.2,0.0,9.2,4.661
17.9,0.0,9.2,4.428
16.8,0.0,5.0,3.108
17.8,0.0,9.2,4.728
18.3,0.0,6.3,4.053
19.9,0.0,5.3,4.025
20.4,T,4.2,3.611
18.9,T,1.2,1.858
14.8,7.0,0.2,1.539
12.1,3.0,0.0,1.014
8.1,10.5,0.0,0.389
10.6,0.0,0.0,1.433
11.4,0.5,0.0,0.331
13.1,0.0,0.1,1.822
13.6,T,0.0,0.867
13.8,T,0.1,2.017
17.5,0.5,5.0,3.739
17.8,T,0.6,1.892
20.0,0.0,7.5,4.567
21.2,0.0,7.6,4.539
18.7,0.0,0.0,1.536
18.8,0.0,4.4,4.036
18.9,0.5,2.0,2.95
16.9,9.0,0.1,1.572
16.9,T,0.0,1.342
14.3,20.5,0.0,0.544
13.0,8.5,0.0,0.617
11.7,12.0,0.0,0.725
13.9,0.0,1.5,3.331
15.8,0.0,9.7,5.786
16.0,0.0,9.3,5.547
16.0,0.0,9.6,5.547
18.3,0.0,9.8,5.475
20.1,0.0,9.5,5.294
15.1,T,0.0,1.386
17.3,0.0,3.5,3.875
20.7,0.0,9.9,5.547
23.0,0.0,8.9,5.086
24.4,T,2.8,3.433
24.2,0.0,5.0,4.381
19.6,0.0,2.6,3.186
15.3,T,1.5,2.761
15.6,T,2.5,2.75
13.8,T,0.4,1.944
13.1,T,0.0,1.036
13.7,1.0,0.0,0.919
16.1,T,1.5,2.492
17.4,T,5.5,4.394
11.8,10.0,0.1,0.742
11.5,1.0,0.0,0.408
14.2,0.0,1.1,2.017
17.6,0.0,5.3,3.906
25.1,0.0,8.9,5.328
17.9,6.0,0.0,0.614
14.1,3.0,0.0,0.917
14.6,T,9.1,5.525
14.1,T,0.0,0.903
17.2,T,0.2,2.056
16.0,25.5,0.0,0.606
18.5,1.0,10.5,6.742
19.5,0.0,7.3,5.258
18.1,0.0,0.6,2.35
17.3,0.5,0.0,0.803
19.8,0.0,0.6,2.425
21.3,0.0,7.9,5.564
18.4,0.0,2.9,3.289
15.2,3.0,1.9,2.461
17.4,0.0,7.3,5.842
19.1,0.0,6.8,5.492
20.9,0.0,7.4,5.589
23.8,0.0,7.4,5.064
25.9,0.0,9.3,6.089
25.6,0.0,2.5,3.689
21.2,0.5,5.1,4.594
20.9,0.0,4.4,4.978
24.1,T,4.4,4.931
24.9,0.0,7.3,5.183
24.5,2.5,1.4,2.994
25.1,27.5,2.6,3.297
24.7,26.5,3.7,4.122
25.9,T,8.0,5.786
27.8,0.0,10.9,6.369
25.4,T,5.9,4.783
21.9,T,0.6,2.797
22.2,2.0,2.1,3.419
22.9,7.0,1.4,3.736
22.5,10.0,0.4,1.736
19.4,0.0,0.0,1.142
21.6,0.0,0.1,2.236
24.1,0.0,3.0,4.25
24.5,0.0,3.6,3.456
26.0,0.0,3.3,4.708
25.0,0.0,0.0,1.625
27.1,0.0,7.8,5.639
25.7,T,0.0,1.519
26.0,T,5.1,5.275
23.7,6.0,1.7,2.744
24.3,T,2.9,3.906
26.5,0.0,7.9,6.078
26.4,0.0,4.9,5.242
25.8,1.0,1.0,1.961
26.1,0.5,0.4,2.272
21.3,84.0,0.0,0.842
22.9,13.5,0.5,2.211
23.8,39.5,1.5,1.772
25.5,T,2.1,3.992
27.1,3.0,3.3,3.233
27.8,0.0,10.6,6.683
26.5,11.5,6.4,4.983
