期間平均室外溫度(°),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²)
19.4,0.0,7.3,5.472
15.8,0.0,0.0,2.111
14.6,0.0,0.0,1.839
15.8,T,0.5,1.603
18.2,0.0,4.4,4.897
18.8,0.0,3.1,3.611
18.2,T,1.4,3.489
19.9,3.0,1.1,3.861
21.4,10.0,4.6,3.572
23.0,0.0,8.8,6.019
23.0,T,6.9,5.3
23.8,0.0,7.5,5.858
22.6,1.0,2.1,3.858
22.9,2.0,0.0,1.906
22.4,T,0.1,2.353
21.7,0.0,3.3,4.653
21.9,1.5,3.7,4.381
19.4,2.5,0.9,3.139
18.2,2.5,0.5,2.506
16.4,T,0.0,0.544
18.3,0.0,1.7,3.769
18.8,0.0,1.5,3.044
20.0,0.0,1.3,3.058
21.4,0.0,6.2,5.906
22.5,T,4.7,4.456
21.5,0.5,4.9,5.842
22.0,0.0,5.8,5.867
23.7,0.0,9.6,6.772
24.5,T,3.1,4.753
24.8,2.5,4.5,5.25
23.9,0.0,10.7,7.211
24.2,T,3.1,4.833
21.4,T,1.0,3.856
21.7,0.0,3.2,5.444
20.8,0.0,1.9,4.247
18.4,T,0.0,1.833
19.2,T,0.1,2.453
20.8,T,4.3,4.881
23.1,1.0,6.3,5.964
19.0,0.5,0.0,2.422
16.9,T,0.0,1.2
19.3,0.0,0.2,3.444
21.7,0.0,3.6,5.272
26.1,0.0,9.5,7.117
23.2,0.5,4.9,4.247
19.3,T,0.0,2.075
17.4,0.0,0.0,1.119
17.0,0.0,0.3,2.683
18.4,T,0.1,1.547
22.0,T,2.2,3.45
20.7,T,0.1,1.294
19.7,T,1.5,3.306
20.0,T,1.8,2.681
21.2,T,0.0,1.275
22.7,0.0,7.8,5.917
23.7,T,5.3,4.561
22.0,3.5,0.2,2.206
20.1,0.5,0.0,1.081
19.0,0.0,0.1,3.064
19.3,0.0,6.8,5.547
21.8,0.0,4.1,4.733
24.7,T,3.3,4.019
25.7,0.5,5.1,5.458
26.4,T,8.2,6.764
24.8,0.0,6.4,5.725
22.8,0.0,4.4,5.433
25.2,T,5.4,5.597
24.2,T,0.6,2.581
24.6,T,2.4,3.967
27.6,0.0,9.2,6.517
24.7,29.0,0.1,2.714
25.2,0.0,2.9,4.497
27.6,0.0,11.7,7.606
27.2,0.0,9.4,6.942
25.7,0.0,9.0,6.853
25.4,T,4.4,4.747
25.6,T,3.8,4.794
26.3,T,5.4,5.761
23.0,T,0.0,1.242
23.8,0.0,0.0,2.15
25.6,0.0,6.5,5.65
26.4,1.0,1.5,3.986
27.1,T,4.1,4.644
27.4,0.0,6.6,5.256
27.7,0.0,7.5,5.928
28.4,0.0,9.1,6.331
28.6,0.0,10.6,6.992
26.1,0.5,4.1,4.056
25.5,0.0,1.2,4.197
27.6,0.0,10.0,6.792
28.0,0.0,10.6,7.286
28.3,0.0,8.6,6.553
27.6,T,3.0,4.336
26.1,1.0,2.8,3.756
23.7,31.5,1.1,1.908
25.6,9.0,1.6,2.644
26.5,T,1.6,2.283
27.4,7.0,6.4,5.597
27.9,0.0,9.7,6.369
28.5,0.0,10.9,7.483
