"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"12","1012.9","1016.0","1015.3","2023/12/12 22:20:00","1011.4","2023/12/12 01:55:00","25.2","29.5","2023/12/12 12:21:00","21.3","2023/12/12 23:22:00","20.8","77","64","2023/12/12 12:08:00","3.2","360","8.1","20","2023/12/12 21:53:00","T","0.1","T","2023/12/12 03:19:00","T","2023/12/12 03:19:00","7.8","73.0","13.46","8.0","6","2023/12/12 13:00:00","4.2"
"13","1015.8","1019.0","1017.5","2023/12/13 09:22:00","1014.4","2023/12/13 14:57:00","23.3","28.5","2023/12/13 13:46:00","19.9","2023/12/13 04:38:00","18.8","76","59","2023/12/13 13:46:00","3.0","10","7.8","350","2023/12/13 02:22:00","0.0","0.0","0.0","--","0.0","--","8.2","76.7","14.50","10.2","6","2023/12/13 12:00:00","0.8"
"14","1016.0","1019.2","1018.0","2023/12/14 09:12:00","1014.0","2023/12/14 15:20:00","23.8","28.0","2023/12/14 14:17:00","21.7","2023/12/14 04:59:00","20.3","82","61","2023/12/14 13:03:00","2.2","20","6.9","330","2023/12/14 15:39:00","0.0","0.0","0.0","--","0.0","--","6.4","59.9","12.96","8.6","5","2023/12/14 12:00:00","2.4"
"15","1013.6","1016.8","1015.4","2023/12/15 07:56:00","1011.1","2023/12/15 15:32:00","24.9","29.9","2023/12/15 14:53:00","21.5","2023/12/15 04:38:00","20.1","76","49","2023/12/15 13:30:00","1.5","20","7.4","300","2023/12/15 16:49:00","0.0","0.0","0.0","--","0.0","--","8.6","80.5","14.83","6.0","6","2023/12/15 12:00:00","2.0"
"16","1015.6","1018.7","1019.6","2023/12/16 23:31:00","1013.0","2023/12/16 03:35:00","21.4","26.6","2023/12/16 11:14:00","14.8","2023/12/16 23:46:00","15.7","70","53","2023/12/16 14:05:00","4.2","10","15.6","50","2023/12/16 19:34:00","0.0","0.0","0.0","--","0.0","--","9.8","91.8","15.67","14.2","6","2023/12/16 12:00:00","1.4"
"17","1019.7","1022.9","1021.8","2023/12/17 09:31:00","1017.3","2023/12/17 14:33:00","17.5","21.2","2023/12/17 15:10:00","14.4","2023/12/17 05:43:00","10.9","65","55","2023/12/17 12:22:00","2.3","10","11.3","40","2023/12/17 00:03:00","T","0.6","T","2023/12/17 07:48:00","T","2023/12/17 07:48:00","1.6","15.0","10.31","14.2","5","2023/12/17 12:00:00","8.8"
"18","1018.1","1021.3","1020.3","2023/12/18 08:56:00","1015.7","2023/12/18 14:28:00","20.4","25.2","2023/12/18 12:33:00","16.6","2023/12/18 01:53:00","15.0","72","52","2023/12/18 11:59:00","3.1","10","9.8","350","2023/12/18 14:57:00","0.0","0.0","0.0","--","0.0","--","8.1","75.9","15.12","13.0","7","2023/12/18 12:00:00","2.2"
"19","1016.1","1019.3","1017.8","2023/12/19 08:13:00","1013.3","2023/12/19 15:06:00","21.4","26.1","2023/12/19 12:30:00","18.2","2023/12/19 23:17:00","17.5","79","60","2023/12/19 12:30:00","4.4","360","11.2","20","2023/12/19 21:15:00","0.0","0.0","0.0","--","0.0","--","2.2","20.6","11.36","12.6","6","2023/12/19 12:00:00","8.8"
"20","1016.4","1019.6","1017.9","2023/12/20 22:02:00","1014.7","2023/12/20 14:15:00","17.5","20.2","2023/12/20 13:43:00","15.8","2023/12/20 23:53:00","13.6","78","67","2023/12/20 13:44:00","4.4","360","10.5","340","2023/12/20 08:18:00","7.0","5.1","2.0","2023/12/20 02:39:00","4.0","2023/12/20 02:05:00","0.0","0.0","5.71","13.4","3","2023/12/20 13:00:00","10.0"
"21","1019.4","1022.6","1023.1","2023/12/21 22:23:00","1016.6","2023/12/21 02:34:00","15.1","16.7","2023/12/21 12:11:00","12.3","2023/12/21 23:37:00","10.1","72","65","2023/12/21 16:38:00","5.1","360","11.4","350","2023/12/21 21:54:00","T","1.6","T","2023/12/21 04:08:00","T","2023/12/21 04:08:00","0.1","0.9","6.72","19.4","3","2023/12/21 11:00:00","10.0"
"22","1023.9","1027.2","1025.5","2023/12/22 09:44:00","1022.2","2023/12/22 14:21:00","13.4","17.0","2023/12/22 15:36:00","10.9","2023/12/22 06:04:00","6.0","61","50","2023/12/22 15:43:00","4.7","360","12.5","360","2023/12/22 00:51:00","0.0","0.0","0.0","--","0.0","--","3.4","31.8","11.54","13.8","5","2023/12/22 12:00:00","8.6"
"23","1023.4","1026.6","1024.9","2023/12/23 00:01:00","1021.6","2023/12/23 14:10:00","16.5","19.6","2023/12/23 15:03:00","13.0","2023/12/23 03:39:00","10.0","65","58","2023/12/23 13:56:00","2.2","20","6.3","360","2023/12/23 23:05:00","T","0.2","T","2023/12/23 08:21:00","T","2023/12/23 08:21:00","0.0","0.0","5.96","10.0","3","2023/12/23 13:00:00","10.0"
"24","1022.0","1025.2","1023.5","2023/12/24 08:36:00","1019.7","2023/12/24 14:17:00","16.7","22.1","2023/12/24 12:52:00","13.0","2023/12/24 23:44:00","11.6","73","55","2023/12/24 13:36:00","4.8","360","13.1","350","2023/12/24 15:10:00","0.0","0.0","0.0","--","0.0","--","7.8","73.0","14.99","22.0","6","2023/12/24 12:00:00","2.6"
"25","1021.2","1024.5","1023.1","2023/12/25 08:52:00","1018.8","2023/12/25 14:41:00","15.9","22.8","2023/12/25 14:27:00","11.7","2023/12/25 06:20:00","8.8","64","47","2023/12/25 14:42:00","3.5","360","8.6","20","2023/12/25 03:34:00","0.0","0.0","0.0","--","0.0","--","9.6","89.9","15.73","12.6","6","2023/12/25 12:00:00","3.4"
"26","1020.8","1024.1","1022.7","2023/12/26 08:46:00","1018.9","2023/12/26 15:14:00","17.5","22.4","2023/12/26 15:17:00","12.6","2023/12/26 05:40:00","11.3","67","51","2023/12/26 15:17:00","2.2","360","5.5","10","2023/12/26 22:51:00","0.0","0.0","0.0","--","0.0","--","0.4","3.7","9.06","10.6","4","2023/12/26 12:00:00","9.2"
"27","1020.0","1023.2","1022.0","2023/12/27 08:44:00","1018.4","2023/12/27 14:26:00","20.2","23.5","2023/12/27 14:40:00","18.4","2023/12/27 03:23:00","16.9","82","61","2023/12/27 14:15:00","2.9","360","7.4","340","2023/12/27 12:44:00","T","0.1","T","2023/12/27 23:05:00","T","2023/12/27 23:05:00","0.0","0.0","7.18","5.4","4","2023/12/27 13:00:00","10.0"
"28","1018.7","1021.9","1020.4","2023/12/28 09:15:00","1016.9","2023/12/28 15:20:00","19.6","21.9","2023/12/28 11:16:00","18.1","2023/12/28 23:43:00","17.9","90","70","2023/12/28 11:55:00","3.6","10","10.8","10","2023/12/28 09:08:00","5.5","3.1","2.0","2023/12/28 13:08:00","2.0","2023/12/28 13:08:00","0.0","0.0","4.67","26.6","3","2023/12/28 12:00:00","10.0"
"29","1016.9","1020.1","1018.6","2023/12/29 08:33:00","1014.9","2023/12/29 14:42:00","19.8","25.6","2023/12/29 13:57:00","17.0","2023/12/29 06:19:00","17.3","86","62","2023/12/29 13:51:00","3.7","20","9.2","340","2023/12/29 17:05:00","0.0","0.0","0.0","--","0.0","--","9.3","86.9","15.85","9.0","7","2023/12/29 12:00:00","2.2"
"30","1014.4","1017.6","1016.6","2023/12/30 00:01:00","1012.7","2023/12/30 14:54:00","19.6","22.1","2023/12/30 13:37:00","17.7","2023/12/30 04:04:00","18.3","93","83","2023/12/30 14:10:00","2.3","20","6.3","30","2023/12/30 04:35:00","2.5","3.7","0.5","2023/12/30 15:05:00","1.5","2023/12/30 17:25:00","0.5","4.6","4.68","4.6","3","2023/12/30 14:00:00","8.6"
"31","1013.9","1017.1","1015.7","2023/12/31 22:16:00","1012.4","2023/12/31 13:37:00","21.7","28.1","2023/12/31 13:28:00","18.0","2023/12/31 06:56:00","17.0","77","40","2023/12/31 12:25:00","3.4","360","8.7","350","2023/12/31 10:28:00","0.0","0.0","0.0","--","0.0","--","9.4","87.8","15.96","14.6","7","2023/12/31 13:00:00","2.2"
