"觀測時間(day)","測站氣壓(hPa)","重力位高度(gpm)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm"
"13","765.2","3155.4","766.3","2023/05/13 08:15:00","764.1","2023/05/13 15:34:00","12.9","16.5","2023/05/13 12:07:00","10.9","2023/05/13 01:44:00","11.8","93","74","2023/05/13 13:40:00","0.9","260","5.1","240","2023/05/13 23:41:00","T","5.1","T","2023/05/13 08:38:00","T","2023/05/13 08:38:00","0.1","0.8","12.88","11.3","-2.0","9.4","15.7","14.4","14.7","14.5","14.7"
"14","763.5","3133.7","764.7","2023/05/14 00:01:00","762.4","2023/05/14 15:23:00","11.0","14.8","2023/05/14 12:35:00","7.7","2023/05/14 19:33:00","10.3","96","82","2023/05/14 12:36:00","1.4","300","8.2","130","2023/05/14 20:46:00","21.5","8.0","3.0","2023/05/14 14:28:00","7.5","2023/05/14 14:28:00","0.0","0.0","7.26","8.3","-1.0","10.0","15.2","14.2","14.5","14.5","14.8"
"15","763.2","3127.8","764.3","2023/05/15 21:10:00","762.1","2023/05/15 03:31:00","10.9","14.6","2023/05/15 11:24:00","7.8","2023/05/15 01:04:00","10.0","94","73","2023/05/15 23:33:00","0.9","360","5.5","340","2023/05/15 18:46:00","2.5","7.0","0.5","2023/05/15 19:20:00","1.0","2023/05/15 19:40:00","0.1","0.8","11.83","12.2","-1.0","10.0","14.8","13.6","14.0","14.1","14.5"
"16","763.8","3139.0","765.0","2023/05/16 21:56:00","762.6","2023/05/16 02:52:00","12.9","16.0","2023/05/16 10:41:00","9.5","2023/05/16 00:03:00","12.2","96","68","2023/05/16 03:34:00","0.7","290","4.5","260","2023/05/16 04:03:00","5.5","7.1","0.5","2023/05/16 18:17:00","1.5","2023/05/16 07:13:00","0.2","1.5","10.15","3.2","-1.3","9.0","15.3","14.0","14.3","14.2","14.5"
"17","764.4","3149.7","765.5","2023/05/17 09:50:00","763.4","2023/05/17 15:45:00","14.0","19.1","2023/05/17 11:25:00","11.5","2023/05/17 03:00:00","13.0","94","64","2023/05/17 10:14:00","1.1","260","8.3","290","2023/05/17 14:55:00","0.0","0.0","0.0","--","0.0","--","6.1","46.0","19.77","18.6","2.9","4.8","16.4","15.0","15.2","14.8","14.9"
"18","764.1","3143.4","765.1","2023/05/18 10:12:00","762.7","2023/05/18 16:16:00","12.8","13.8","2023/05/18 10:53:00","11.6","2023/05/18 23:37:00","12.6","99","94","2023/05/18 01:27:00","1.7","270","10.0","260","2023/05/18 16:20:00","17.5","8.2","5.5","2023/05/18 14:14:00","10.5","2023/05/18 13:21:00","0.0","0.0","3.64","12.1","-1.8","9.0","15.9","14.8","15.1","15.0","15.2"
"19","764.3","3146.9","765.6","2023/05/19 22:06:00","763.2","2023/05/19 02:21:00","13.1","17.4","2023/05/19 11:53:00","10.7","2023/05/19 03:27:00","12.1","94","75","2023/05/19 11:58:00","1.4","160","10.6","210","2023/05/19 13:45:00","117.5","8.6","12.0","2023/05/19 14:41:00","43.5","2023/05/19 13:50:00","4.6","34.4","14.05","18.0","-0.7","4.3","15.3","14.4","14.8","14.7","15.0"
"20","765.2","3155.9","766.7","2023/05/20 22:05:00","763.9","2023/05/20 03:55:00","12.9","15.6","2023/05/20 11:31:00","11.4","2023/05/20 04:35:00","12.6","98","78","2023/05/20 10:28:00","1.1","270","6.5","300","2023/05/20 14:13:00","9.0","4.0","3.0","2023/05/20 16:55:00","6.5","2023/05/20 16:43:00","1.2","9.0","13.18","6.5","-0.6","8.0","15.8","14.6","14.8","14.7","14.9"
"21","765.8","3162.4","766.8","2023/05/21 09:06:00","764.7","2023/05/21 15:05:00","13.1","16.5","2023/05/21 14:22:00","11.4","2023/05/21 02:50:00","12.1","94","78","2023/05/21 09:41:00","1.2","230","6.9","220","2023/05/21 14:59:00","1.0","0.8","0.5","2023/05/21 15:16:00","0.5","2023/05/21 15:06:00","2.5","18.8","15.13","19.8","-1.8","9.0","15.9","14.7","14.9","14.8","15.0"
"22","764.6","3149.8","765.5","2023/05/22 00:01:00","763.7","2023/05/22 16:30:00","13.0","16.4","2023/05/22 14:10:00","11.4","2023/05/22 05:13:00","12.6","97","81","2023/05/22 14:13:00","1.4","270","6.9","270","2023/05/22 17:14:00","5.0","2.3","2.5","2023/05/22 15:48:00","4.5","2023/05/22 15:48:00","0.8","6.0","9.90","11.5","-1.3","9.2","15.8","14.6","14.8","14.8","15.0"
"23","764.1","3144.1","765.1","2023/05/23 21:36:00","762.7","2023/05/23 02:20:00","13.3","14.9","2023/05/23 13:04:00","11.4","2023/05/23 03:26:00","13.3","100","100","2023/05/23 00:01:00","1.5","290","12.9","340","2023/05/23 03:24:00","35.0","6.5","6.0","2023/05/23 03:09:00","14.5","2023/05/23 03:00:00","0.0","0.0","4.82","1.3","-1.0","10.0","15.6","14.5","14.9","14.7","15.0"
"24","765.0","3154.2","766.3","2023/05/24 22:09:00","763.8","2023/05/24 03:42:00","12.9","15.5","2023/05/24 13:17:00","11.1","2023/05/24 23:34:00","12.9","100","93","2023/05/24 11:49:00","1.0","220","6.4","310","2023/05/24 15:08:00","12.0","3.5","4.0","2023/05/24 13:43:00","4.5","2023/05/24 13:38:00","0.4","3.0","8.79","10.7","-1.8","8.8","16.0","14.8","15.0","14.8","15.0"
"25","766.8","3172.7","768.0","2023/05/25 21:42:00","765.2","2023/05/25 02:02:00","12.9","17.7","2023/05/25 10:47:00","10.4","2023/05/25 01:42:00","12.5","98","77","2023/05/25 11:10:00","0.6","320","4.5","280","2023/05/25 12:42:00","7.0","2.2","2.5","2023/05/25 13:22:00","6.0","2023/05/25 13:19:00","3.6","26.9","14.98","13.1","-1.1","8.0","15.7","14.7","14.9","14.8","15.0"
"26","766.8","3174.8","767.8","2023/05/26 08:31:00","765.8","2023/05/26 16:18:00","13.7","18.2","2023/05/26 14:34:00","10.5","2023/05/26 04:07:00","13.3","97","78","2023/05/26 14:42:00","0.8","80","4.6","100","2023/05/26 19:49:00","0.0","0.0","0.0","--","0.0","--","4.0","29.7","15.08","14.6","-1.0","5.0","15.9","14.6","14.9","14.8","15.1"
"27","765.1","3157.7","766.4","2023/05/27 00:01:00","764.3","2023/05/27 17:29:00","13.6","16.8","2023/05/27 13:52:00","9.1","2023/05/27 23:57:00","13.1","97","82","2023/05/27 23:59:00","1.2","70","6.5","110","2023/05/27 07:32:00","0.5","1.6","0.5","2023/05/27 04:24:00","0.5","2023/05/27 04:24:00","2.0","14.8","14.56","0.9","3.0","8.0","16.8","15.5","15.7","15.3","15.4"
"28","764.6","3151.7","765.6","2023/05/28 08:55:00","763.8","2023/05/28 16:02:00","14.5","21.4","2023/05/28 11:05:00","7.7","2023/05/28 03:00:00","8.1","67","33","2023/05/28 09:44:00","0.9","100","5.0","80","2023/05/28 10:29:00","0.0","0.0","0.0","--","0.0","--","10.7","79.3","28.00","18.4","4.1","2.2","15.8","14.7","15.1","15.1","15.4"
"29","762.2","3132.1","764.2","2023/05/29 00:01:00","760.7","2023/05/29 23:59:00","16.9","22.0","2023/05/29 10:39:00","13.2","2023/05/29 02:22:00","11.7","72","49","2023/05/29 07:44:00","1.5","90","6.9","50","2023/05/29 19:37:00","0.0","0.0","0.0","--","0.0","--","9.3","69.3","26.43","12.2","4.7","1.3","17.1","15.7","16.0","15.6","15.7"
"30","758.4","3089.8","760.7","2023/05/30 00:01:00","756.9","2023/05/30 15:56:00","16.5","20.5","2023/05/30 11:27:00","14.6","2023/05/30 03:36:00","12.5","78","62","2023/05/30 00:07:00","1.8","60","10.3","90","2023/05/30 21:18:00","T","1.8","T","2023/05/30 14:01:00","T","2023/05/30 14:01:00","2.9","21.6","19.11","11.0","-3.3","8.8","17.5","16.2","16.5","16.1","16.2"
"31","756.0","3060.4","757.1","2023/05/31 00:01:00","755.0","2023/05/31 15:29:00","15.0","18.9","2023/05/31 08:29:00","12.8","2023/05/31 23:27:00","13.8","93","68","2023/05/31 08:33:00","1.4","360","10.1","340","2023/05/31 03:53:00","35.0","7.2","9.0","2023/05/31 16:13:00","28.0","2023/05/31 15:57:00","3.3","24.4","10.60","12.1","-1.9","4.0","17.4","16.2","16.4","16.3","16.4"
