"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"10","1005.2","1008.3","1006.3","2023/09/10 20:48:00","1004.0","2023/09/10 14:34:00","26.7","29.1","2023/09/10 14:50:00","23.3","2023/09/10 05:27:00","22.7","79","61","2023/09/10 10:41:00","1.9","40","6.9","20","2023/09/10 12:40:00","0.0","0.0","0.0","--","0.0","--","10.3","83.6","24.39","29.0","5.0","10","2023/09/10 13:00:00","3.4"
"11","1005.0","1008.0","1006.3","2023/09/11 21:52:00","1003.7","2023/09/11 15:03:00","26.8","29.3","2023/09/11 13:49:00","22.9","2023/09/11 05:43:00","21.8","75","59","2023/09/11 21:26:00","2.4","40","7.2","20","2023/09/11 14:26:00","0.0","0.0","0.0","--","0.0","--","10.0","81.3","25.10","22.0","6.2","11","2023/09/11 12:00:00","3.8"
"12","1004.8","1007.8","1006.0","2023/09/12 21:24:00","1002.8","2023/09/12 15:10:00","27.2","30.1","2023/09/12 13:47:00","23.6","2023/09/12 05:12:00","22.8","77","68","2023/09/12 08:01:00","2.6","30","9.3","30","2023/09/12 15:12:00","0.0","0.0","0.0","--","0.0","--","10.5","85.6","24.43","20.2","6.6","12","2023/09/12 12:00:00","2.8"
"13","1004.8","1007.8","1005.7","2023/09/13 22:44:00","1003.8","2023/09/13 16:04:00","27.6","30.2","2023/09/13 13:11:00","24.9","2023/09/13 05:09:00","23.0","77","62","2023/09/13 13:08:00","1.7","50","6.1","30","2023/09/13 12:01:00","0.0","0.0","0.0","--","0.0","--","9.5","77.6","21.77","30.0","5.4","11","2023/09/13 12:00:00","4.2"
"14","1005.8","1008.8","1007.7","2023/09/14 21:37:00","1004.5","2023/09/14 03:51:00","27.7","30.3","2023/09/14 09:03:00","24.8","2023/09/14 05:51:00","24.1","82","64","2023/09/14 09:30:00","2.3","40","8.2","10","2023/09/14 15:58:00","1.0","0.3","1.0","2023/09/14 21:16:00","1.0","2023/09/14 21:16:00","10.3","84.3","23.75","14.8","-4.9","11","2023/09/14 12:00:00","2.2"
"15","1007.0","1010.0","1008.8","2023/09/15 21:30:00","1005.6","2023/09/15 03:19:00","28.1","32.4","2023/09/15 10:46:00","25.9","2023/09/15 06:05:00","24.7","82","59","2023/09/15 10:47:00","2.3","30","7.5","360","2023/09/15 12:23:00","1.0","0.8","0.5","2023/09/15 06:10:00","1.0","2023/09/15 06:10:00","5.9","48.4","19.79","18.6","5.4","11","2023/09/15 12:00:00","6.4"
"16","1008.6","1011.7","1009.9","2023/09/16 08:41:00","1007.5","2023/09/16 15:15:00","28.1","32.3","2023/09/16 10:22:00","25.5","2023/09/16 05:25:00","23.9","78","50","2023/09/16 10:17:00","2.1","30","6.6","20","2023/09/16 11:53:00","0.0","0.0","0.0","--","0.0","--","10.1","83.0","22.16","16.2","-5.0","11","2023/09/16 12:00:00","7.4"
"17","1008.1","1011.1","1009.2","2023/09/17 09:56:00","1006.8","2023/09/17 16:05:00","28.0","30.4","2023/09/17 14:40:00","25.9","2023/09/17 03:18:00","24.3","81","69","2023/09/17 09:23:00","1.8","30","6.3","350","2023/09/17 11:12:00","T","0.1","T","2023/09/17 00:45:00","T","2023/09/17 00:45:00","5.5","45.3","15.92","17.8","4.7","6","2023/09/17 11:00:00","6.6"
"18","1008.7","1011.8","1010.2","2023/09/18 20:18:00","1007.2","2023/09/18 03:35:00","28.5","31.9","2023/09/18 09:56:00","25.1","2023/09/18 06:01:00","24.1","77","59","2023/09/18 09:56:00","2.3","40","8.1","20","2023/09/18 13:54:00","0.0","0.0","0.0","--","0.0","--","10.7","88.3","22.97","30.0","5.4","11","2023/09/18 12:00:00","1.6"
"19","1008.5","1011.5","1010.0","2023/09/19 07:54:00","1007.4","2023/09/19 03:09:00","29.5","33.4","2023/09/19 11:07:00","26.0","2023/09/19 06:09:00","23.5","71","54","2023/09/19 10:58:00","2.1","30","8.3","20","2023/09/19 10:16:00","0.0","0.0","0.0","--","0.0","--","11.6","95.9","24.23","30.0","6.4","12","2023/09/19 12:00:00","1.0"
"20","1007.3","1010.3","1008.9","2023/09/20 09:22:00","1005.8","2023/09/20 14:54:00","29.6","32.3","2023/09/20 13:26:00","26.1","2023/09/20 05:39:00","23.0","68","54","2023/09/20 13:26:00","2.2","30","6.9","10","2023/09/20 11:02:00","0.0","0.0","0.0","--","0.0","--","11.2","92.8","22.76","25.0","6.1","11","2023/09/20 12:00:00","2.2"
"21","1007.7","1010.8","1009.1","2023/09/21 21:34:00","1006.2","2023/09/21 01:42:00","29.1","31.7","2023/09/21 09:18:00","26.8","2023/09/21 06:09:00","24.2","75","65","2023/09/21 09:16:00","2.3","30","6.0","190","2023/09/21 02:46:00","0.0","0.0","0.0","--","0.0","--","7.2","59.7","19.27","25.0","7.0","10","2023/09/21 12:00:00","5.0"
"22","1007.8","1010.8","1009.7","2023/09/22 21:04:00","1006.1","2023/09/22 14:19:00","28.7","31.1","2023/09/22 12:55:00","27.4","2023/09/22 04:54:00","25.4","82","68","2023/09/22 12:08:00","3.3","40","10.3","50","2023/09/22 12:14:00","2.5","1.0","1.5","2023/09/22 17:49:00","2.5","2023/09/22 17:49:00","7.1","59.1","19.27","21.0","-3.7","12","2023/09/22 12:00:00","6.2"
"23","1007.8","1010.8","1009.1","2023/09/23 00:01:00","1006.1","2023/09/23 15:14:00","29.4","32.4","2023/09/23 12:09:00","26.6","2023/09/23 04:34:00","25.1","78","64","2023/09/23 11:42:00","2.7","130","8.4","100","2023/09/23 14:23:00","2.5","0.6","1.5","2023/09/23 03:55:00","2.5","2023/09/23 03:55:00","8.7","72.5","22.07","25.0","5.1","12","2023/09/23 12:00:00","5.8"
"24","1007.7","1010.8","1009.2","2023/09/24 08:31:00","1006.0","2023/09/24 14:02:00","29.3","32.8","2023/09/24 13:09:00","27.7","2023/09/24 05:23:00","24.4","76","57","2023/09/24 10:03:00","2.6","60","10.1","40","2023/09/24 14:37:00","0.0","0.0","0.0","--","0.0","--","11.2","93.6","23.86","30.0","5.7","12","2023/09/24 12:00:00","2.8"
"25","1008.0","1011.0","1009.0","2023/09/25 09:00:00","1006.8","2023/09/25 02:57:00","28.5","29.8","2023/09/25 11:56:00","27.0","2023/09/25 05:09:00","25.2","83","78","2023/09/25 02:27:00","2.8","30","8.6","20","2023/09/25 12:01:00","0.0","0.0","0.0","--","0.0","--","8.3","69.5","20.76","28.0","-4.0","12","2023/09/25 12:00:00","5.4"
"26","1008.3","1011.4","1009.7","2023/09/26 08:56:00","1007.3","2023/09/26 14:57:00","28.3","30.0","2023/09/26 12:41:00","25.7","2023/09/26 02:21:00","25.4","85","72","2023/09/26 13:04:00","2.7","40","8.0","30","2023/09/26 18:43:00","6.5","0.6","5.5","2023/09/26 02:08:00","6.5","2023/09/26 02:08:00","5.8","48.7","17.40","22.0","-7.0","10","2023/09/26 12:00:00","6.8"
"27","1008.0","1011.1","1009.2","2023/09/27 22:42:00","1006.5","2023/09/27 15:02:00","28.4","29.8","2023/09/27 10:43:00","27.0","2023/09/27 03:10:00","25.3","84","72","2023/09/27 10:46:00","3.2","40","9.3","40","2023/09/27 06:10:00","0.0","0.0","0.0","--","0.0","--","5.8","48.8","18.84","17.8","-5.2","11","2023/09/27 12:00:00","6.8"
"28","1008.5","1011.6","1010.1","2023/09/28 22:17:00","1007.2","2023/09/28 15:28:00","28.5","30.5","2023/09/28 14:12:00","26.6","2023/09/28 22:41:00","25.9","86","70","2023/09/28 15:55:00","2.9","40","9.8","30","2023/09/28 13:08:00","6.5","1.2","4.0","2023/09/28 05:02:00","4.0","2023/09/28 05:02:00","7.9","66.6","21.84","26.0","-3.1","11","2023/09/28 12:00:00","5.4"
"29","1009.0","1012.1","1010.4","2023/09/29 09:05:00","1007.6","2023/09/29 16:02:00","27.9","29.5","2023/09/29 11:22:00","26.6","2023/09/29 22:51:00","25.9","89","80","2023/09/29 11:23:00","3.0","30","9.0","20","2023/09/29 12:00:00","5.0","1.5","1.5","2023/09/29 22:25:00","4.0","2023/09/29 21:57:00","4.6","38.8","14.77","15.2","-6.0","8","2023/09/29 11:00:00","6.8"
"30","1007.2","1010.2","1008.5","2023/09/30 00:01:00","1005.4","2023/09/30 15:30:00","27.4","28.8","2023/09/30 13:03:00","26.1","2023/09/30 03:07:00","25.6","90","83","2023/09/30 13:09:00","2.7","30","7.7","30","2023/09/30 10:38:00","0.5","0.1","0.5","2023/09/30 04:58:00","0.5","2023/09/30 04:58:00","5.3","44.8","16.79","20.4","4.0","9","2023/09/30 13:00:00","8.0"
