期間平均室外溫度(°),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²)
22.6,5.5,4.8,4.775
18.4,4.5,0.0,2.439
19.0,T,0.3,2.572
16.9,1.5,0.0,1.006
15.6,1.0,0.0,1.292
16.4,0.5,0.0,0.886
19.5,2.0,6.4,5.328
20.9,1.5,1.3,3.683
16.4,1.5,0.0,1.192
15.0,5.0,0.0,1.839
17.3,2.0,1.5,3.672
20.6,0.0,9.6,6.333
23.5,0.0,5.3,4.253
19.5,T,0.0,0.883
17.6,1.0,0.0,0.789
16.4,T,0.0,0.753
15.8,T,0.0,1.417
17.0,T,0.0,1.219
19.5,1.0,0.7,2.506
19.3,1.0,2.1,3.006
17.3,0.0,0.0,1.275
18.4,T,1.7,1.686
19.7,0.0,1.7,2.883
21.6,0.0,7.9,5.675
22.8,0.0,4.6,4.85
19.9,0.5,0.0,0.808
18.6,1.0,0.0,0.9
18.0,0.0,0.0,1.964
18.3,T,5.3,5.164
20.5,T,1.8,3.228
23.3,T,6.8,5.225
24.8,6.5,7.7,6.169
25.2,T,5.4,5.656
22.2,1.0,4.1,2.708
21.0,0.0,0.1,2.947
23.3,0.0,7.7,5.578
22.2,T,0.0,0.833
23.6,0.5,4.7,4.453
24.2,T,4.0,4.128
23.9,2.0,2.8,4.361
24.6,0.0,8.9,6.875
26.2,0.0,10.5,6.864
27.0,T,7.5,6.364
23.1,1.5,0.1,1.294
23.0,1.0,0.6,2.1
24.2,2.5,2.2,4.089
25.1,T,3.6,4.747
21.7,T,0.0,1.089
21.4,1.0,0.0,0.944
24.2,0.0,9.9,6.783
25.5,0.0,8.0,5.714
26.2,T,3.5,4.769
26.9,T,8.4,5.994
27.7,T,2.9,4.111
27.9,2.0,4.5,5.014
27.3,0.5,8.9,6.675
24.6,0.5,0.2,1.325
24.2,0.0,0.1,2.883
26.5,0.0,9.6,6.822
27.1,0.0,6.5,6.072
26.8,T,5.8,5.419
26.1,0.5,0.4,2.186
23.4,9.0,0.0,0.708
23.4,6.0,2.0,3.167
24.4,1.5,1.8,2.525
25.4,0.5,0.7,2.128
26.0,T,1.6,3.056
27.7,0.0,10.3,7.061
27.6,T,8.8,6.514
