期間平均室外溫度(°),降水量(mm),日照時數(hour),期間平均太陽輻射量(kW/m²)
15.7,0.0,10.5,5.844
15.9,0.0,10.5,5.825
16.6,0.0,10.7,5.9
18.9,0.0,10.8,5.775
21.2,0.0,8.8,5.422
18.3,0.0,5.3,4.103
19.0,0.0,10.0,5.619
22.0,0.0,10.5,5.769
23.9,0.0,6.2,4.447
25.3,0.0,10.2,5.789
24.6,0.0,10.8,6.028
22.8,0.0,8.9,5.561
20.1,0.0,10.6,6.011
19.5,0.0,6.1,4.819
17.9,0.0,5.0,4.847
16.0,0.0,2.3,3.461
16.4,0.0,3.0,3.875
19.2,0.0,8.6,5.503
20.7,0.0,5.9,5.069
15.3,T,0.3,1.953
13.2,3.0,0.0,0.661
16.7,0.0,9.6,5.989
20.4,0.0,9.6,5.731
26.4,0.0,9.2,5.783
24.1,0.0,6.1,4.517
16.7,1.0,0.3,1.656
16.9,0.0,2.8,3.858
15.0,0.0,1.0,2.636
16.5,T,0.1,2.167
17.9,1.0,1.3,2.539
19.2,0.0,10.7,6.856
19.5,0.0,7.6,5.814
19.4,0.0,4.0,3.267
20.7,0.0,7.6,5.919
22.4,0.0,9.2,5.739
23.7,0.0,9.7,6.064
21.5,0.0,4.9,4.544
18.6,T,5.0,4.336
19.4,0.0,7.6,5.897
19.7,0.0,8.2,6.214
21.4,0.0,6.2,5.053
25.7,0.0,10.3,6.361
26.6,0.0,11.3,6.867
26.8,0.0,10.0,6.731
24.9,0.0,8.9,6.092
22.8,0.0,5.4,5.544
24.7,1.0,6.3,4.678
25.1,0.0,1.3,3.969
26.2,T,6.0,4.878
26.8,T,2.8,4.028
25.7,3.0,4.4,4.753
27.1,0.0,10.4,7.028
27.9,0.0,11.2,7.061
26.6,0.0,11.5,7.192
24.4,0.0,7.0,5.7
24.5,T,5.0,5.294
25.5,2.5,5.3,5.664
25.3,0.5,3.1,3.775
22.1,0.5,1.5,3.136
23.4,T,3.4,4.8
25.0,0.0,8.3,6.194
26.7,0.0,8.0,5.847
26.3,0.0,7.6,5.842
28.0,0.0,9.1,6.706
27.5,0.0,8.4,5.758
26.4,0.0,2.9,4.114
26.6,0.0,9.4,6.894
27.5,0.0,8.5,6.417
26.7,0.0,6.1,5.364
28.2,0.0,11.0,7.297
28.0,0.0,10.3,7.339
28.2,0.0,3.5,4.353
26.5,1.0,0.0,1.825
26.1,7.0,0.3,2.089
23.9,81.0,0.6,2.097
24.4,32.5,0.6,0.925
26.0,T,4.1,3.636
24.7,7.0,0.1,2.028
27.2,0.5,8.0,6.161
26.6,13.5,8.5,6.497
