"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"10","1014.2","1017.4","1015.9","2024/01/10 20:38:00","1012.7","2024/01/10 14:43:00","18.9","23.9","2024/01/10 12:38:00","15.7","2024/01/10 23:38:00","11.6","65","37","2024/01/10 21:22:00","5.5","360","15.6","10","2024/01/10 14:05:00","0.0","0.0","0.0","--","0.0","--","9.7","90.0","16.16","14.2","6","2024/01/10 13:00:00","0.6"
"11","1016.2","1019.4","1017.9","2024/01/11 09:06:00","1014.8","2024/01/11 15:27:00","16.8","22.0","2024/01/11 12:05:00","12.8","2024/01/11 06:35:00","7.0","53","38","2024/01/11 00:09:00","2.8","10","8.6","360","2024/01/11 03:12:00","0.0","0.0","0.0","--","0.0","--","9.7","89.9","16.06","10.4","6","2024/01/11 12:00:00","0.6"
"12","1015.9","1019.1","1017.6","2024/01/12 09:17:00","1013.8","2024/01/12 15:20:00","18.6","24.1","2024/01/12 14:00:00","14.9","2024/01/12 04:00:00","11.5","65","38","2024/01/12 14:00:00","1.7","10","7.2","310","2024/01/12 15:49:00","0.0","0.0","0.0","--","0.0","--","10.0","92.6","16.55","12.2","6","2024/01/12 13:00:00","0.0"
"13","1016.8","1020.0","1018.5","2024/01/13 09:10:00","1015.2","2024/01/13 15:01:00","19.6","24.8","2024/01/13 13:56:00","15.5","2024/01/13 05:03:00","11.8","64","27","2024/01/13 15:45:00","1.9","20","6.2","310","2024/01/13 14:09:00","0.0","0.0","0.0","--","0.0","--","10.0","92.5","16.43","13.0","6","2024/01/13 13:00:00","0.0"
"14","1018.1","1021.3","1020.1","2024/01/14 09:50:00","1016.7","2024/01/14 15:24:00","20.0","24.8","2024/01/14 12:53:00","17.0","2024/01/14 06:52:00","13.3","67","46","2024/01/14 11:48:00","2.3","10","8.1","310","2024/01/14 14:05:00","0.0","0.0","0.0","--","0.0","--","9.8","90.6","16.27","14.4","6","2024/01/14 13:00:00","5.2"
"15","1018.0","1021.1","1019.7","2024/01/15 09:08:00","1016.2","2024/01/15 13:56:00","19.5","25.4","2024/01/15 12:34:00","16.3","2024/01/15 06:31:00","14.5","74","42","2024/01/15 12:25:00","3.1","20","8.8","320","2024/01/15 13:33:00","0.0","0.0","0.0","--","0.0","--","10.1","93.2","17.11","12.2","6","2024/01/15 13:00:00","0.0"
"16","1018.7","1021.9","1020.7","2024/01/16 09:09:00","1016.9","2024/01/16 15:19:00","19.1","24.2","2024/01/16 14:41:00","15.3","2024/01/16 06:25:00","13.9","73","53","2024/01/16 12:59:00","3.6","360","9.0","10","2024/01/16 10:02:00","0.0","0.0","0.0","--","0.0","--","8.3","76.5","16.00","9.6","7","2024/01/16 13:00:00","3.2"
"17","1017.4","1020.5","1019.1","2024/01/17 08:20:00","1015.1","2024/01/17 14:48:00","20.2","25.4","2024/01/17 13:22:00","16.6","2024/01/17 04:04:00","15.0","73","51","2024/01/17 12:32:00","1.9","20","7.8","240","2024/01/17 14:38:00","0.0","0.0","0.0","--","0.0","--","9.9","91.2","16.91","12.0","7","2024/01/17 13:00:00","0.8"
"18","1014.9","1018.1","1017.3","2024/01/18 00:01:00","1012.1","2024/01/18 14:22:00","21.0","26.4","2024/01/18 13:41:00","18.0","2024/01/18 03:50:00","16.9","78","51","2024/01/18 13:20:00","2.5","20","6.6","360","2024/01/18 18:07:00","0.0","0.0","0.0","--","0.0","--","4.1","37.7","12.74","8.4","6","2024/01/18 12:00:00","7.2"
"19","1013.1","1016.2","1014.9","2024/01/19 08:56:00","1010.8","2024/01/19 15:12:00","22.5","28.0","2024/01/19 12:44:00","19.8","2024/01/19 05:01:00","17.5","75","38","2024/01/19 12:28:00","2.4","10","8.4","350","2024/01/19 23:04:00","0.0","0.0","0.0","--","0.0","--","9.3","85.5","16.76","7.2","7","2024/01/19 13:00:00","3.6"
"20","1012.6","1015.8","1014.4","2024/01/20 09:19:00","1010.9","2024/01/20 14:09:00","21.6","26.7","2024/01/20 13:50:00","19.1","2024/01/20 05:58:00","18.3","83","59","2024/01/20 12:53:00","3.7","10","11.2","360","2024/01/20 19:34:00","0.0","0.0","0.0","--","0.0","--","8.4","77.1","16.07","8.6","7","2024/01/20 13:00:00","1.4"
"21","1015.5","1018.7","1018.2","2024/01/21 23:13:00","1013.1","2024/01/21 14:29:00","19.7","25.9","2024/01/21 14:54:00","16.0","2024/01/21 23:59:59","14.8","74","53","2024/01/21 13:11:00","4.7","10","13.3","10","2024/01/21 17:48:00","0.0","0.0","0.0","--","0.0","--","8.8","80.7","16.62","12.8","7","2024/01/21 13:00:00","3.4"
"22","1017.8","1021.0","1019.5","2024/01/22 21:41:00","1015.2","2024/01/22 14:24:00","16.4","21.2","2024/01/22 13:41:00","12.5","2024/01/22 23:57:00","11.5","73","60","2024/01/22 13:11:00","5.0","360","13.1","360","2024/01/22 23:14:00","0.0","0.0","0.0","--","0.0","--","4.8","43.9","13.45","12.6","8","2024/01/22 13:00:00","8.8"
"23","1022.1","1025.4","1024.1","2024/01/23 21:10:00","1019.3","2024/01/23 00:01:00","10.6","13.3","2024/01/23 14:49:00","8.5","2024/01/23 07:33:00","6.7","77","65","2024/01/23 14:49:00","5.9","10","17.3","360","2024/01/23 04:34:00","T","1.6","T","2024/01/23 06:44:00","T","2024/01/23 06:44:00","0.6","5.5","6.07","24.0","3","2024/01/23 12:00:00","9.6"
"24","1023.0","1026.3","1024.8","2024/01/24 08:51:00","1021.4","2024/01/24 15:04:00","13.4","18.1","2024/01/24 13:28:00","9.5","2024/01/24 01:17:00","7.4","68","53","2024/01/24 13:29:00","2.9","10","8.7","20","2024/01/24 02:07:00","0.0","0.0","0.0","--","0.0","--","2.4","21.9","12.34","11.4","6","2024/01/24 12:00:00","8.4"
"25","1023.5","1026.7","1025.5","2024/01/25 09:43:00","1021.6","2024/01/25 14:53:00","15.2","19.6","2024/01/25 14:55:00","12.3","2024/01/25 05:49:00","9.2","68","54","2024/01/25 13:24:00","3.4","360","9.6","360","2024/01/25 23:35:00","0.0","0.0","0.0","--","0.0","--","5.6","51.1","13.02","17.4","5","2024/01/25 14:00:00","5.4"
"26","1022.9","1026.1","1024.9","2024/01/26 09:05:00","1020.6","2024/01/26 16:13:00","15.7","21.6","2024/01/26 13:37:00","11.7","2024/01/26 06:25:00","10.6","72","49","2024/01/26 13:11:00","3.8","360","9.6","350","2024/01/26 21:46:00","0.0","0.0","0.0","--","0.0","--","9.6","87.4","16.96","8.4","7","2024/01/26 13:00:00","0.2"
"27","1021.4","1024.6","1023.2","2024/01/27 08:39:00","1019.1","2024/01/27 14:58:00","16.6","22.9","2024/01/27 12:29:00","12.9","2024/01/27 05:40:00","11.2","71","49","2024/01/27 12:13:00","3.9","360","9.7","360","2024/01/27 21:55:00","0.0","0.0","0.0","--","0.0","--","8.0","72.8","16.80","8.8","7","2024/01/27 13:00:00","2.6"
"28","1021.4","1024.7","1023.0","2024/01/28 08:38:00","1019.2","2024/01/28 14:53:00","16.7","22.9","2024/01/28 13:16:00","12.9","2024/01/28 06:42:00","10.8","70","47","2024/01/28 13:18:00","4.5","10","11.9","10","2024/01/28 00:24:00","0.0","0.0","0.0","--","0.0","--","7.0","63.6","16.03","6.4","7","2024/01/28 12:00:00","3.6"
"29","1020.1","1023.3","1022.3","2024/01/29 00:08:00","1017.0","2024/01/29 14:56:00","18.2","24.3","2024/01/29 13:46:00","14.2","2024/01/29 07:00:00","13.7","76","57","2024/01/29 13:14:00","3.5","20","10.9","320","2024/01/29 16:32:00","0.0","0.0","0.0","--","0.0","--","9.5","86.1","17.68","9.8","7","2024/01/29 13:00:00","2.0"
"30","1018.4","1021.5","1020.7","2024/01/30 09:32:00","1016.4","2024/01/30 14:55:00","20.3","25.6","2024/01/30 14:02:00","16.9","2024/01/30 06:50:00","16.8","82","59","2024/01/30 13:43:00","2.8","20","8.3","10","2024/01/30 09:50:00","T","0.5","T","2024/01/30 01:32:00","T","2024/01/30 01:32:00","8.0","72.4","16.26","3.6","7","2024/01/30 13:00:00","5.0"
"31","1017.0","1020.1","1019.4","2024/01/31 08:38:00","1014.6","2024/01/31 15:04:00","22.4","28.1","2024/01/31 13:52:00","18.7","2024/01/31 07:04:00","17.7","76","54","2024/01/31 13:53:00","1.9","10","6.4","310","2024/01/31 14:12:00","0.0","0.0","0.0","--","0.0","--","9.8","88.0","17.38","6.0","7","2024/01/31 13:00:00","1.2"
