"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"10","1010.5","1013.6","1011.8","2023/05/10 21:58:00","1009.2","2023/05/10 16:49:00","24.7","27.6","2023/05/10 13:37:00","21.7","2023/05/10 02:09:00","18.1","67","56","2023/05/10 16:14:00","1.9","220","9.0","180","2023/05/10 13:42:00","0.0","0.0","0.0","--","0.0","--","11.5","87.6","27.36","12.6","12","2023/05/10 13:00:00","2.6"
"11","1011.6","1014.7","1012.9","2023/05/11 09:53:00","1010.5","2023/05/11 02:33:00","25.8","29.3","2023/05/11 12:57:00","23.8","2023/05/11 03:47:00","19.6","69","49","2023/05/11 12:57:00","1.9","160","7.8","250","2023/05/11 14:57:00","0.0","0.0","0.0","--","0.0","--","3.9","29.7","18.02","12.4","9","2023/05/11 14:00:00","9.2"
"12","1011.5","1014.6","1013.2","2023/05/12 09:35:00","1009.8","2023/05/12 16:15:00","25.9","28.9","2023/05/12 12:25:00","24.0","2023/05/12 05:56:00","20.8","74","62","2023/05/12 11:17:00","2.3","330","8.0","320","2023/05/12 14:44:00","0.0","0.0","0.0","--","0.0","--","3.5","26.6","17.07","9.2","12","2023/05/12 13:00:00","9.0"
"13","1010.0","1013.1","1011.9","2023/05/13 09:19:00","1008.3","2023/05/13 14:30:00","25.7","29.5","2023/05/13 14:29:00","23.5","2023/05/13 05:19:00","20.8","75","57","2023/05/13 11:45:00","2.9","340","10.1","340","2023/05/13 15:11:00","T","1.0","T","2023/05/13 07:44:00","T","2023/05/13 07:44:00","1.9","14.4","16.56","7.6","9","2023/05/13 12:00:00","9.8"
"14","1008.1","1011.2","1009.6","2023/05/14 09:25:00","1006.6","2023/05/14 15:38:00","25.8","29.2","2023/05/14 12:51:00","24.0","2023/05/14 00:01:00","19.8","70","51","2023/05/14 13:10:00","2.4","350","8.9","350","2023/05/14 16:17:00","T","0.5","T","2023/05/14 03:31:00","T","2023/05/14 03:31:00","0.3","2.3","11.08","10.0","9","2023/05/14 13:00:00","10.0"
"15","1007.9","1011.0","1009.3","2023/05/15 21:03:00","1006.4","2023/05/15 15:37:00","24.9","27.5","2023/05/15 10:36:00","23.5","2023/05/15 06:27:00","21.9","84","66","2023/05/15 10:13:00","1.7","60","5.3","270","2023/05/15 12:56:00","5.0","5.0","2.5","2023/05/15 20:35:00","4.5","2023/05/15 20:28:00","0.1","0.8","8.45","7.0","6","2023/05/15 10:00:00","10.0"
"16","1007.3","1010.4","1008.9","2023/05/16 08:43:00","1005.5","2023/05/16 15:09:00","26.0","29.2","2023/05/16 13:17:00","22.9","2023/05/16 01:35:00","21.8","78","64","2023/05/16 21:12:00","2.0","350","6.7","350","2023/05/16 11:49:00","1.0","2.0","0.5","2023/05/16 00:59:00","0.5","2023/05/16 00:07:00","0.5","3.7","14.36","6.8","9","2023/05/16 12:00:00","9.4"
"17","1006.7","1009.7","1008.0","2023/05/17 00:01:00","1004.9","2023/05/17 16:10:00","27.7","31.2","2023/05/17 11:59:00","24.7","2023/05/17 03:47:00","22.5","74","57","2023/05/17 11:34:00","2.6","230","8.2","260","2023/05/17 16:19:00","0.0","0.0","0.0","--","0.0","--","11.8","89.1","27.61","18.6","13","2023/05/17 13:00:00","1.8"
"18","1006.0","1009.1","1007.6","2023/05/18 10:39:00","1004.3","2023/05/18 16:25:00","28.7","30.9","2023/05/18 12:15:00","26.6","2023/05/18 03:02:00","25.1","81","70","2023/05/18 08:38:00","2.6","210","9.5","230","2023/05/18 13:27:00","0.0","0.0","0.0","--","0.0","--","4.3","32.4","19.94","23.0","11","2023/05/18 12:00:00","8.2"
"19","1006.6","1009.7","1008.1","2023/05/19 22:48:00","1005.2","2023/05/19 02:36:00","28.3","31.2","2023/05/19 11:42:00","26.1","2023/05/19 03:23:00","24.8","82","68","2023/05/19 12:38:00","2.8","200","10.1","220","2023/05/19 11:43:00","1.5","0.5","1.5","2023/05/19 03:15:00","1.5","2023/05/19 03:15:00","4.4","32.9","19.74","9.2","10","2023/05/19 12:00:00","8.0"
"20","1007.6","1010.6","1009.6","2023/05/20 22:28:00","1006.1","2023/05/20 15:18:00","28.4","31.2","2023/05/20 11:28:00","26.3","2023/05/20 03:36:00","24.1","78","67","2023/05/20 11:47:00","2.4","250","9.1","220","2023/05/20 14:35:00","T","0.6","T","2023/05/20 19:55:00","T","2023/05/20 19:55:00","6.5","48.5","20.97","12.0","12","2023/05/20 12:00:00","5.4"
"21","1008.1","1011.1","1009.5","2023/05/21 08:40:00","1006.4","2023/05/21 17:02:00","28.9","31.8","2023/05/21 12:37:00","26.7","2023/05/21 03:38:00","24.1","76","60","2023/05/21 12:26:00","2.6","140","8.4","250","2023/05/21 14:17:00","0.0","0.0","0.0","--","0.0","--","9.8","73.7","25.79","15.0","13","2023/05/21 12:00:00","4.4"
"22","1006.5","1009.6","1007.8","2023/05/22 00:01:00","1005.0","2023/05/22 17:56:00","29.3","32.0","2023/05/22 13:19:00","27.1","2023/05/22 03:29:00","24.7","77","64","2023/05/22 10:30:00","2.3","250","7.3","260","2023/05/22 14:01:00","0.0","0.0","0.0","--","0.0","--","9.4","70.6","24.35","55.0","12","2023/05/22 13:00:00","6.0"
"23","1006.6","1009.7","1008.7","2023/05/23 21:38:00","1004.8","2023/05/23 02:42:00","27.4","30.7","2023/05/23 12:06:00","24.8","2023/05/23 19:15:00","23.6","80","67","2023/05/23 11:07:00","2.4","290","8.3","330","2023/05/23 04:38:00","4.0","1.1","3.5","2023/05/23 04:34:00","3.5","2023/05/23 04:30:00","1.2","9.0","13.21","18.0","6","2023/05/23 11:00:00","9.8"
"24","1008.3","1011.3","1009.3","2023/05/24 20:50:00","1007.3","2023/05/24 02:38:00","27.4","31.8","2023/05/24 10:57:00","25.2","2023/05/24 06:17:00","22.2","74","57","2023/05/24 10:57:00","1.8","290","7.9","310","2023/05/24 13:13:00","0.0","0.0","0.0","--","0.0","--","3.7","27.7","18.82","9.8","11","2023/05/24 13:00:00","8.8"
"25","1009.7","1012.7","1011.1","2023/05/25 23:38:00","1008.1","2023/05/25 15:34:00","28.8","33.2","2023/05/25 11:45:00","25.6","2023/05/25 06:04:00","23.0","71","54","2023/05/25 11:41:00","2.7","20","8.8","300","2023/05/25 13:18:00","0.0","0.0","0.0","--","0.0","--","9.3","69.7","24.52","15.2","11","2023/05/25 12:00:00","4.4"
"26","1009.8","1012.9","1011.6","2023/05/26 08:46:00","1007.8","2023/05/26 16:45:00","28.9","32.1","2023/05/26 13:51:00","26.8","2023/05/26 05:28:00","23.1","72","57","2023/05/26 14:30:00","2.7","310","8.1","310","2023/05/26 12:34:00","T","0.1","T","2023/05/26 10:50:00","T","2023/05/26 10:50:00","5.5","41.2","16.30","15.2","8","2023/05/26 14:00:00","6.8"
"27","1008.2","1011.3","1009.5","2023/05/27 09:22:00","1006.8","2023/05/27 16:23:00","28.6","31.2","2023/05/27 14:35:00","27.0","2023/05/27 05:53:00","23.1","73","59","2023/05/27 11:50:00","2.9","320","9.2","300","2023/05/27 15:22:00","0.0","0.0","0.0","--","0.0","--","3.8","28.4","18.14","17.6","8","2023/05/27 13:00:00","8.0"
"28","1005.9","1009.0","1007.4","2023/05/28 07:45:00","1003.9","2023/05/28 15:46:00","28.4","31.8","2023/05/28 12:21:00","26.0","2023/05/28 04:27:00","23.4","75","59","2023/05/28 12:21:00","2.7","310","9.5","300","2023/05/28 12:03:00","0.0","0.0","0.0","--","0.0","--","8.4","62.8","24.13","10.2","12","2023/05/28 13:00:00","4.4"
"29","1002.3","1005.3","1005.2","2023/05/29 00:01:00","1000.4","2023/05/29 17:59:00","29.0","31.4","2023/05/29 13:34:00","26.5","2023/05/29 05:41:00","23.4","73","58","2023/05/29 16:21:00","2.3","20","8.3","240","2023/05/29 12:35:00","0.0","0.0","0.0","--","0.0","--","11.3","84.4","27.61","14.2","13","2023/05/29 12:00:00","2.2"
"30","997.2","1000.2","1000.6","2023/05/30 00:01:00","994.5","2023/05/30 15:58:00","29.7","33.6","2023/05/30 14:21:00","27.0","2023/05/30 17:14:00","24.1","72","58","2023/05/30 16:14:00","1.9","170","8.9","300","2023/05/30 12:22:00","0.5","0.5","0.5","2023/05/30 17:13:00","0.5","2023/05/30 17:13:00","5.0","37.3","20.05","11.2","10","2023/05/30 13:00:00","7.8"
"31","994.9","997.9","996.2","2023/05/31 22:14:00","993.7","2023/05/31 16:01:00","29.2","32.8","2023/05/31 13:21:00","27.5","2023/05/31 05:42:00","24.2","75","61","2023/05/31 13:20:00","2.9","10","12.1","340","2023/05/31 13:40:00","0.5","0.8","0.5","2023/05/31 11:39:00","0.5","2023/05/31 11:39:00","3.1","23.1","11.42","8.4","6","2023/05/31 10:00:00","6.6"
